company_name,event_type,asset_bucket,pathway,claim,why_prioritized,source_url,source_type,source_quality,evidence_status,confidence_score,geography,sector,outcome_type,outcome_value,acquirer_or_investor,funding_path,founder_story_signal,notes,last_verified_at
Wingify,majority acquisition,SMV,bootstrapped;strategic_acquisition,"TechCrunch reported Everstone acquired a majority stake in bootstrapped Indian SaaS company Wingify for about $200M.","High-fit SMV proof: profitable bootstrapped SaaS, global customer base, PE/strategic middle outcome.",https://techcrunch.com/2025/01/23/everstone-acquires-bootstrapped-indian-startup-wingify-for-200m/,article,credible_press,verified_fact,94,India,marketing technology,majority acquisition,200M USD,Everstone,"reported as bootstrapped with no external funding since 2010","Founder-led bootstrapping and meaningful exit",Useful flagship SMV case; validate with company/filing source if available.,2026-05-22
ProfitWell,acquisition,SMV,bootstrapped;strategic_acquisition,"Paddle announced it acquired ProfitWell in a deal valued at over $200M in cash and equity.","High-fit SMV proof: SaaS analytics product acquired for strategic platform expansion.",https://www.paddle.com/recur/all/paddle-acquires-profitwell,company_announcement,primary,verified_fact,91,United States,SaaS analytics,acquisition,200M+ USD,Paddle,bootstrapped signal requires separate founder/source verification,"Founder story appears strong but needs source separation",Primary source verifies acquisition value; separate row should verify bootstrapping claim.,2026-05-22
SocialPilot,acquisition,SMV,bootstrapped;strategic_acquisition,"Mint reported SocialPilot, a bootstrapped social media management platform, was acquired by group.one in a roughly $50M exit.","High-fit SMV proof: lower-middle strategic SaaS exit and bootstrapped path.",https://www.livemint.com/companies/start-ups/bootstrapped-nation-socialpilot-jimit-bagadiya-groupone-zoho-zerodha-wingify-creative-glance-social-media-saas-facebook/amp-11752571905171.html,article,credible_press,candidate_evidence,84,India / Sweden,social media SaaS,acquisition,50M USD,group.one,reported bootstrapped,"Bootstrapped founder/frugality narrative",Validate against group.one or company announcement before paper use.,2026-05-22
Mailchimp,acquisition,Patient Capital,bootstrapped;strategic_acquisition;profitable_independent,"Intuit announced an agreement to acquire Mailchimp for approximately $12B in cash and stock.","Boundary case: beyond SMV outcome size, but crucial proof that non-VC paths can create massive company value.",https://investors.intuit.com/news-events/press-releases/detail/162/intuit-to-acquire-mailchimp,company_announcement,primary,verified_fact,88,United States,marketing automation,acquisition,12B USD,Intuit,bootstrapping requires separate source,"Long independent path before sale","Use as post-unicorn proof case, not core SMV due outcome size.",2026-05-22
GitHub,late VC round,UVC,delayed_vc,"InfoWorld reported GitHub received a $100M investment from Andreessen Horowitz in 2012 as its first outside investment.","Important delayed-VC example: company raised from strength after product/community traction.",https://www.infoworld.com/article/2289367/go-it-alone-no-more-github-gets-100-million-investment.html,article,credible_press,verified_fact,82,United States,developer tools,late VC round,100M USD,Andreessen Horowitz,first outside investment in 2012,"Delayed VC after strong developer adoption",Not an SMV outcome; use in delayed-VC pathway section.,2026-05-22
Qualtrics,first institutional round,UVC,delayed_vc;profitable_independent,"TechCrunch reported Qualtrics raised $70M in 2012 as its first institutional investment after being profitable since founding in 2002.","Strong delayed-VC proof: bootstrapped/profitable enterprise software company raised growth capital later.",https://techcrunch.com/2012/05/15/qualtrics-raises-70m-accel-sequoia/,article,credible_press,verified_fact,87,United States,enterprise software,late VC round,70M USD,Accel and Sequoia,first institutional investment after profitable bootstrapping,"Founder raised from strength after a decade",Outcome later exceeded SMV scale; useful as pathway proof.,2026-05-22
Calendly,growth round,LMV,delayed_vc;profitable_independent,"TechCrunch reported Calendly raised $350M in 2021, including secondary money, at a valuation above $3B.","Capital-efficient scale proof: product-led growth and late large financing with partial liquidity component.",https://techcrunch.com/2021/01/26/how-atlantas-calendly-turned-a-scheduling-nightmare-into-a-3b-startup/,article,credible_press,verified_fact,78,United States,scheduling software,growth financing,350M USD,OpenView and Iconiq,prior capital path needs separate verification,"Efficient product-led growth narrative","Use as delayed/efficient-growth case, not core SMV due valuation scale.",2026-05-22
Zapier,seed financing,UVC,delayed_vc;profitable_independent,"TechCrunch reported Zapier raised a $1.2M seed round in 2012 after Y Combinator.","Useful contrast case for small early capital and later capital-efficient growth.","https://techcrunch.com/2012/10/31/zapier-raises-1-2m-seed-round/",article,credible_press,verified_fact,70,United States,automation software,seed round,1.2M USD,Bessemer / DFJ / angels,small seed round,"Remote/product-led story needs separate evidence",Use carefully; minimal-outside-funding claims need stronger source.,2026-05-22
Basecamp,profitability-first company,Patient Capital,bootstrapped;profitable_independent,"Basecamp describes its Bootstrapped, Profitable, and Proud series as profiling companies with over $1M in revenues that did not take VC and are profitable.","Movement proof: canonical anti-hypergrowth/profitability-first software company and discourse source.",https://basecamp.com/bootstrapped,company_site,primary,verified_fact,80,United States,project management software,independent private company,not disclosed,none,bootstrapped/profitable,"Explicit pro-bootstrapping discourse",Use as discourse and patient-capital archetype; exact company financials need separate citations.,2026-05-22
FusionCharts,acquisition,SMV,bootstrapped;strategic_acquisition,"Idera announced it acquired FusionCharts, a JavaScript charting components company trusted by 800,000 developers and 28,000 companies.","Strong candidate SMV: developer-tool acquisition by software platform acquirer.",https://www.ideracorp.com/pressreleases/acquires-fusioncharts,company_announcement,primary,candidate_evidence,75,India / United States,developer tools,acquisition,not disclosed,Idera,bootstrapping requires separate source,"Founder-led bootstrapping story requires separate evidence",Primary source verifies acquisition; bootstrapped tag needs validation.,2026-05-22
