claim_id,entity_id,entity_name,claim_type,claim,source_url,source_type,source_quality,source_tier,evidence_status,last_verified_at,notes
claim-acquisition-lab-intake-001,acquisition-lab,Acquisition Lab,intake_search-eta_bucket_signal,Acquisition Lab has source-backed Search/ETA bucket evidence: source text contains 'independent sponsor'.,https://acquisitionlab.com/team,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Entrepreneur Advisor DD in Daniel Duran Associate DB in David Bradley Membership Committee DB in Drew Brantley Technical Advisor, Independent Sponsor Model HE in Heather Endresen T"
claim-acquisition-lab-intake-002,acquisition-lab,Acquisition Lab,intake_search-eta_bucket_signal,Acquisition Lab has source-backed Search/ETA bucket evidence: source text contains 'succession'.,https://acquisitionlab.com/team,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Meet the Team - Acquisition Lab Meet the Team - Acquisition Lab About About the Lab Meet the Team Membership Overview Success Stories Pricing Apply to Join Capital Overview EIR Pro
claim-camelback-ventures-intake-001,camelback-ventures,Camelback Ventures,intake_lmv_bucket_signal,Camelback Ventures has source-backed LMV bucket evidence: source text contains 'fellowship'.,https://www.camelbackventures.org,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,Auto-promoted intake evidence; not paper-ready. Snippet: Homepage - Camelback Ventures Homepage - Camelback Ventures Skip to content About Us Our Org Our Team Our Board Careers Our Work Our Work Camelback Fellowship Guardian Summit Fisca
claim-camelback-ventures-intake-002,camelback-ventures,Camelback Ventures,intake_lmv_bucket_signal,Camelback Ventures has source-backed LMV bucket evidence: source text contains 'accelerator'.,https://www.camelbackventures.org,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,"Auto-promoted intake evidence; not paper-ready. Snippet: We offer a rigorous venture accelerator, the Camelback Fellowship, providing capital & community for innovative entrepreneurs."
claim-the-ica-group-intake-001,the-ica-group,The ICA Group,intake_patient-capital_bucket_signal,The ICA Group has source-backed Patient Capital bucket evidence: source text contains 'mission'.,https://www.icagroup.org/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,Auto-promoted intake evidence; not paper-ready. Snippet: rce Blog Post Sort by Impact Area Conversions Home Care Child Care Sort by Resource Type Guide Report Template Thank you! Your submission has been received! Oops! Something went wr
claim-the-ica-group-intake-002,the-ica-group,The ICA Group,intake_patient-capital_bucket_signal,The ICA Group has source-backed Patient Capital bucket evidence: source text contains 'foundation'.,https://www.icagroup.org/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,Auto-promoted intake evidence; not paper-ready. Snippet: That’s why ICA designs initiatives that build on tangible victories while laying the foundation for systemic transformation.
claim-the-ica-group-intake-003,the-ica-group,The ICA Group,intake_patient-capital_bucket_signal,The ICA Group has source-backed Patient Capital bucket evidence: source text contains 'impact'.,https://www.icagroup.org/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,"Auto-promoted intake evidence; not paper-ready. Snippet: We help members build financial sustainability and scale impact using people focused, market-based approaches."
claim-amana-mutual-funds-intake-001,amana-mutual-funds,Amana Mutual Funds,intake_patient-capital_bucket_signal,Amana Mutual Funds has source-backed Patient Capital bucket evidence: source text contains 'long-term'.,https://www.amanafunds.com/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,"Auto-promoted intake evidence; not paper-ready. Snippet: Our disciplined, quality-focused investment process seeks to deliver cost- and tax-efficient portfolios designed to serve as durable, long-term allocations within a diversified inv"
claim-amana-mutual-funds-intake-002,amana-mutual-funds,Amana Mutual Funds,intake_patient-capital_bucket_signal,Amana Mutual Funds has source-backed Patient Capital bucket evidence: source text contains 'long-term capital'.,https://www.amanafunds.com/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,Auto-promoted intake evidence; not paper-ready. Snippet: 1994 Seeks long-term capital growth by investing in common stocks and principally follows a large-cap investment style.
claim-amana-mutual-funds-intake-003,amana-mutual-funds,Amana Mutual Funds,intake_patient-capital_bucket_signal,Amana Mutual Funds has source-backed Patient Capital bucket evidence: source text contains 'steward'.,https://www.amanafunds.com/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-29,"Auto-promoted intake evidence; not paper-ready. Snippet: After a lifetime of friendship and faithful stewardship of the funds they founded together, Dr."
