company,type,outcome,year,deal_size,atlas_fund,took_vc,verbatim_quote,source_url,source_type,confidence
Wistia,A,bought_out_investors,2017,$17.3M debt,,Angel investors (~$1.4M raised 2008–2010) — not institutional VC but external equity investors expecting a return,"We turned down the offer to sell Wistia and instead took on $17.3M in debt. This allowed us to buy out our investors, gain full control of Wistia, and take the path less traveled in the tech industry.",https://wistia.com/learn/culture/taking-on-debt-to-grow-our-own-way,founder-blog,high
Buffer,A,bought_out_investors,2018,$3.3M buyout at an $80.8M valuation (40.5% return to investors over 3.5 years),,Raised Series A VC from multiple investors (16 total); bought out 7 of 16 Series A investors in July 2018,"Last month, Buffer spent $3.3 million – about half of all the cash we had in the bank – to buy out our main venture capital (VC) investors.",https://buffer.com/resources/buying-out-investors/,founder-blog,high
Gumroad,A,went_evergreen,2019,,,"Kleiner Perkins (Series A, $7M, May 2012); seed round $1.1M from Accel Partners, Chris Sacca, Max Levchin, SV Angel, Josh Kopelman, Naval Ravikant, Collaborative Fund — total ~$8M+ raised","The future came into focus: I could grow a small team, slowly buy back our investors, and build Gumroad into a meaningful business focused on our creators. We would never become a billion-dollar company, and that started to feel okay. Certainly, the thousands of creators selling on Gumroad wouldn't mind.",https://sahillavingia.com/reflecting,founder-blog,high
ConvertKit (now Kit),A,refused_acquisition,2021,"Hundreds of millions (Spotify acquisition offer, exact figure not disclosed)",,"Bootstrapped — $5K personal savings (2013), $50K personal injection (2014). Considered VC in 2016 but turned down all offers. Raised $1.8M from 6,500+ angels in 2018 via an unusual AngelList product-access round (non-dilutive, structured as product access not equity sale). No institutional/traditional VC ever taken.","Spotify reached out about acquiring ConvertKit this year. Historically we've had interest from private equity firms, but this was the first time a name-brand company reached out with strong interest. I felt like I owed it to myself and the years I've put into ConvertKit, to actually consider the offer. After quite a bit of journaling I decided I didn't want to sell and recommitted to the long-term vision. Our mission to serve creators is more important to me than the return from an acquisition, even to a company as cool as Spotify.",https://nathanbarry.com/2021-review/,founder-blog,high
37signals / Basecamp,A,went_evergreen,2006,"A few million dollars (personal stake purchase, described as 'a few million each')",,"Jeff Bezos personal minority no-control stake purchased in 2006 from Jason Fried and DHH personally (not into the company); no VC funds, no traditional investment rounds","In 2006, Jeff Bezos bought a minority, no-control stake of Basecamp from Jason and me. We didn't need any money to run the company, as we'd been profitable from the get-go, so none of it went to fund ""our incredible journey""... Second, there was no exit lined up! Jeff did have a one-time provision to sell his stake back to us after, I believe, seven years, but we didn't trigger it, so now we're in this together with no end in sight.",https://medium.com/signal-v-noise/the-deal-jeff-bezos-got-on-basecamp-b7a1cb39179e,founder-blog,high
Testbirds (acquired by UNGUESS),B,fast_sub_unicorn_exit,2026,Combined group ~€20 million aggregate turnover; deal terms undisclosed,Round2 Capital Partners,Round2 Capital Partners — revenue-based financing first invested May 2023,"June 2026 – UNGUESS, the European platform combining crowdtesting, AI and human insights to ensure the reliability, quality and security of digital products and experiences, announces the acquisition of Testbirds, the leading crowdtesting provider in DACH and Benelux. With offices in Germany, the Netherlands and the UK, Testbirds has developed a scalable model for digital product quality under the motto 'Testing Reality'.",https://www.testbirds.com/en/blog/unguess-acquires-testbirds-to-create-the-leading-european-ai-powered-platform-for-digital-quality-and-security/,press-release,high
Dialexa,B,fast_sub_unicorn_exit,2022,undisclosed,Cypress Growth Capital,"Cypress Growth Capital — non-dilutive royalty-based growth capital, May 2016","""Digital product engineering represents the tip of the spear for competitive advantage,"" said Scott Harper, CEO and Co-Founder, Dialexa. ""IBM and Dialexa's shared vision for delivering industry-defining digital products could be a game changer. We are thrilled to become part of one of the world's most iconic companies to continue to scale and grow our global client relationships in this rapidly growing market.""",https://newsroom.ibm.com/2022-09-22-IBM-Acquires-Dialexa-to-Speed-Digital-Innovation,press-release,high
Norbauer & Co.,B,sold_to_permanent_holdco,2024,49% minority stake; deal size undisclosed,Tiny (tinycapital.com / tiny.com),bootstrapped - not a took-VC case,"Many founders, especially those in the VC sphere, tend to view outside investment as a path to an ""exit"" payday, allowing them to cash out and ride off into a tropical sunset. Tiny has, to be sure, facilitated numerous embarkations of this type. But in my case, the short-term financial aspects of the sale were, for both sides, actually something of an afterthought. Far from exiting anything, I continue to serve as CEO of Norbauer & Co., and, as majority voting shareholder, I retain absolute control—creative and otherwise—over the business.",https://ryan.norbauer.com/journal/the-outsider-option-why-i-sold-half-my-company-to-tiny/,founder-blog,high
Palo Alto Software,A,bought_out_investors,2002,,,Venture capital round signed early 2000 (just before dot-com bubble burst),"We ended up with minority owners who wanted only to sell the company, and we no longer wanted to. So we negotiated a deal, and bought their share back from them. That was in 2002.",https://timberry.com/true-story-why-we-bought-out-our-vc-investors/,founder-blog,high
Olark,A,refused_acquisition,2013,,,Y Combinator alumni — took YC funding,"A few years after graduating from YCombinator, Olark walked away from what could potentially have been a very lucrative acquisition offer. I reacted instinctively. I told them I wasn't selling. ... Olark wouldn't pursue acquisition in 2013 (or since, for that matter).",https://www.olark.com/speak/from-0-to-10-making-the-right-decisions,founder-blog,high
