fund_id,name,niche,admitted_via,self_id_quote,evidence_url,hand_verified,status,discovered_round,notes,target_economy,excluded_reason
chenmark,Chenmark,permanent-capital,self_id,We intend to own our businesses indefinitely. We do this because we believe in the magic of compounding.,https://chenmark.com/weekly-thoughts/ownership/,YES,excluded_traditional,batch1,Hand-verified via JS-capable fetch (Exa); homepage is JS-rendered. Quote from the 'Ownership' essay (Nov 2024). Indefinite ownership / compounding-over-exits.,traditional,real-economy SMBs (landscaping/frozen-dough/sitescapes) - not tech-enabled
arbor-permanent-owners,Arbor Permanent Owners,permanent-capital holdco (Australian SMEs),self_id,"We're not a private equity fund. We don't buy companies, cut costs, and flip them. Instead, we look for well-run, founder-led businesses and become long-term custodians — keeping the brand, people, culture and legacy intact.",https://arborpermanentowners.co/founders-letter,YES,excluded_traditional,batch4,"Hand-verified on Exa raw markdown of APO's own Founder's Letter. Also: 'we plan to own it forever'; 'not traded or flipped for a quick buck'; 'We don't flip businesses.' Allocator: acquires & owns Australian SMEs (A$5-30M rev, A$2-8M pre-tax profit); permanent capital already committed; acquired East West Engineering (40-yr-old co) Dec 2024. Founders Jason Andrew & Simon Plummer. Diversity: AUSTRALIA geography + physical/essential businesses (mfg, industrial services), not software.",traditional,Australian SMEs in financial-services/manufacturing/industrial - real-economy
everoak-holdings,Everoak Holdings,permanent-capital holdco (US essential services),self_id,No fund life. No exit timeline. No next buyer. We acquire exceptional businesses and hold them forever.,https://everoakholdings.com/,YES,excluded_traditional,batch4,"Hand-verified on Exa raw markdown of everoakholdings.com homepage. Also: 'a permanent capital holding company... we intend to own it indefinitely'; 'no LP to return capital to, and no pressure to sell. We buy to hold, indefinitely'; 'Your legacy does not get flipped.' Allocator: acquires essential-services SMBs (EBITDA $400K-2M, recurring revenue, 10+ yrs in business). Team George Lang (MP); advised by Kent Weaver (Granite Point Partners). US. Admitted as the single representative from a large Round-6 permanent-holdco cluster (others benched to avoid archetype skew).",traditional,essential/non-discretionary services - not tech-enabled
lab-one-capital,Lab One Capital,permanent-capital holdco (Western Canada),self_id,"We buy, build, and hold exceptional Western Canadian businesses. Forever.",https://labonecapital.com/,YES,excluded_traditional,batch4,"Hand-verified on Exa raw markdown of labonecapital.com homepage. Also: 'preserve the legacy... for decades, not years'; 'We are not your standard private equity or search fund... investing our own personal equity'; 'Permanent hold - No fund clock - we buy, build, and compound for the long term.' Allocator: buys & holds small Western Canadian businesses with own equity (testimonial from Squamish Bottle Depot = at least one closed deal). CANADA geography. Archetype = permanent holdco (saturated) but adds Canada. Early-stage (placeholder portfolio stats).",traditional,local Western-Canadian SMBs (e.g. bottle depots) - not tech-enabled
colfax-creek,Colfax Creek,permanent-capital manufacturing acquirer (US / Detroit),self_id,We don't buy companies to flip—we buy them to build.,https://colfaxcreek.com/,YES,excluded_traditional,batch5,"Hand-verified on Exa raw markdown of colfaxcreek.com. Also: 'Permanent capital lets us invest for decades, not fund cycles'; 'We invest our own committed capital, not LP funds... no artificial deadlines.' Allocator: permanent-capital acquirer of Great Lakes manufacturers ($2-4M EBITDA; 6 acquisitions since 2017; Jason Duzan, Birmingham MI). CAVEAT: page notes 2 historical divestitures - the permanent/no-flip self-ID is explicit but practice has included some exits; flag for review. Tier 1 strict (with caveat).",traditional,strategically-important manufacturing companies - real-economy
anchor-street-capital,Anchor Street Capital,"permanent-hold SMB holdco (US, faith-driven)",self_id,"We have no exit strategy. We have a stay strategy. We hold permanently, compounding value for decades, not quarters.",https://anchorstreetcapital.com/,YES,excluded_traditional,batch7,"Hand-verified on Exa raw markdown of anchorstreetcapital.com. Explicit no-exit/no-flip self-ID: 'We have a Stay Strategy. Not an Exit Strategy'; 'We buy businesses to keep them, not to sell them'; 'No fund cycle. No exit pressure. No countdown clock.' Distinctly Christian firm (biblical stewardship framing). Sub-6x EBITDA essential SMBs. Allocator: acquires & holds small businesses. Strict self_id. [HOLDCO archetype]",traditional,Main Street SMBs (mfg/healthcare/trades/food/retail/transport) - real-economy
lykos-sovereign-group,Lykos Sovereign Group,permanent-capital essential-services holdco (US),self_id,Permanent capital. No exit. Ever.,https://lykossovereign.com/about,YES,excluded_traditional,batch7,"Hand-verified on Exa raw markdown of lykossovereign.com/about. Explicit no-exit self-ID: 'Permanent capital. No exit. Ever.'; 'We buy to hold. Permanently. No fund lifecycle. No exit mandate. No LP pressure'; 'own it for the life of the enterprise'; table Hold Period Permanent vs PE 3-7yr. NOTE: 'Sovereign' is branding, NOT a sovereign wealth fund - it is a permanent-hold holdco (Delaware C-corp) for healthcare + infrastructure/energy services, $1-10M EBITDA. Allocator: acquires essential-services businesses. Strict self_id. [HOLDCO archetype]",traditional,healthcare + infrastructure/energy services - real-economy
perpetuo-group,Perpetuo,"permanent-capital SMB holdco (US, non-software)",self_id,"We don't buy to sell. We buy to hold, protect, and grow good businesses, and the people who built them.",https://www.perpetuogroup.com/,YES,excluded_traditional,batch7,"Hand-verified on Exa raw markdown of perpetuogroup.com. Explicit no-sell self-ID: 'Perpetuo means forever. We don't buy to sell'; 'built to last for generations.' Founder-led permanent capital (Cyril Grislain, ex-McKinsey), backing owners since 1999, 100+ companies, $2-10M EBITDA. EXPLICITLY EXCLUDES software/AI/life-science - acquires business services, logistics, healthcare, manufacturing (good non-software diversity). Allocator: majority SMB acquisitions. Strict self_id. [HOLDCO archetype - non-software]",traditional,EXPLICITLY excludes software/AI/life-science; business-services/logistics/healthcare/mfg - real-economy
sig-partners,SIG Partners,family-owned permanent holdco (US),self_id,"There is no fund, no timeline, and no pressure to sell for short term economics. We invest in growth, support our operators, and stand behind every company we acquire permanently.",https://sigpartners.com/,YES,excluded_traditional,batch7,"Hand-verified on Exa raw markdown of sigpartners.com. Explicit no-sell self-ID. Family-owned holding company; 35 businesses purchased in 5 years, $290M paid to owners, 99% post-close retention; $4M+ revenue targets. Allocator: acquires & permanently holds businesses. Strict self_id. [HOLDCO archetype]",traditional,distribution/manufacturing businesses - real-economy
boxfund,Boxfund,zebra-thesis consumer family office (UK),self_id,"We're not a traditional VC. We don't manage external capital, we don't work to a fund cycle, and we're not hunting for quick exits.",https://www.boxfund.co.uk/,YES,excluded_traditional,batch8,"Hand-verified on Exa raw markdown of boxfund.co.uk. Family office of Roger Wade backing profitable UK consumer brands (food/drink, health/wellness, sustainability) via own capital + EIS/SEIS. Explicit model-rejection self-ID on homepage: 'no fund clock, no external LPs, no pressure to exit'; 'not a traditional VC ... not hunting for quick exits.' Published thesis 'Zebras vs. Unicorns' / 'we invest in Zebras, not Unicorns' (Roger Wade). Allocator: deploys own capital into consumer brands. NON-HOLDCO (zebra/consumer). Strict self_id.",traditional,"UK consumer brands (food/drink, wellness, homeware) - physical goods, not tech-enabled"
