lead_id,name,action,reason
intake-art-70fedcfbf802,Thoma Bravo,rejected,UVC -- unicorn-return-seeking VC
intake-art-91ef09cb77ac,GTCR,rejected,UVC -- unicorn-return-seeking VC
intake-manual-52d9cfd9f8aa,On Deck,rejected,ECOSYSTEM -- non-allocator
intake-curated5-21e8f15de5c2,Graham & Walker,rejected,ECOSYSTEM -- non-allocator
intake-curated5-60696bb9eeff,Neo,rejected,ECOSYSTEM -- non-allocator
intake-curated6-27ded342aa66,Atomico Angels,rejected,ECOSYSTEM -- non-allocator
intake-demoted-42e378d5fa,Vista Equity Partners,promoted_duplicate,already in atlas
intake-curated8-28df21c4fad8,8VC,rejected,UVC -- unicorn-return-seeking VC
intake-curated8-9b18ee77d4a5,Hack VC,rejected,UVC -- unicorn-return-seeking VC
intake-curated8-14955a11adac,Battery Ventures,rejected,UVC -- unicorn-return-seeking VC
intake-web-11ecc4d474ef,Founder Fellowship,rejected,ECOSYSTEM -- non-allocator
intake-curated9-c14e9b66473b,Founders Fund Seed,rejected,UVC -- unicorn-return-seeking VC
intake-curated9-8dea5489d2f1,Compound VC,rejected,UVC -- unicorn-return-seeking VC
intake-curated10-4e9eb2ae2ebc,Founders Fund,rejected,UVC -- unicorn-return-seeking VC
intake-round12-bb79fd24f863,Da Vinci Fellowship,rejected,ECOSYSTEM -- non-allocator
intake-round13-73f15533777a,Echoing Green,rejected,ECOSYSTEM -- non-allocator
intake-round13-26c64bebb689,Black Ambition,rejected,ECOSYSTEM -- non-allocator
intake-round13-6f45055147c8,Tory Burch Foundation,rejected,ECOSYSTEM -- non-allocator
intake-round13-bb6d675b0e58,Arch Grants,rejected,ECOSYSTEM -- non-allocator
intake-wave4-4d825e97a801,AngelHQ,rejected,ECOSYSTEM -- non-allocator
intake-wave5-435bc1721375,TRICAPITAL Angels,rejected,ECOSYSTEM -- non-allocator
intake-wave5-cb55df16c689,Halo Business Angel Network (HBAN),rejected,ECOSYSTEM -- non-allocator
intake-wave5-faffe1331a34,Equity Gap,rejected,ECOSYSTEM -- non-allocator
intake-wave5-c8d4915623a0,AI Risk Mitigation Fund,rejected,ECOSYSTEM -- non-allocator
intake-wave5-9404afa34e9c,Eniac Ventures,rejected,UVC -- unicorn-return-seeking VC
intake-wave5-f5949c365959,Gradient Ventures,rejected,UVC -- unicorn-return-seeking VC
intake-wave5-f573bbb151c9,1kx,rejected,UVC -- unicorn-return-seeking VC
intake-wave6-7f17a0b77a49,Angel Ventures,rejected,ECOSYSTEM -- non-allocator
intake-final-e21afed0aecc,Highland Venture Capital,rejected,ECOSYSTEM -- non-allocator
