log_op,log_reason,log_timestamp,log_source_csv,entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes,lead_id,lead_type,source_urls,discovered_from,target_asset_class,target_entity_type,priority,review_status,created_at
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,b2b-bnpl,B2B BNPL,SMV,Unknown Candidate,capital provider / fund / acquirer / platform,https://www.ratiotech.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-25,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,ai-startup-investment-roundups-2026,AI Startup Investment Roundups 2026,SMV,Unknown Candidate,capital provider / fund / acquirer / platform,https://aifundingtracker.com,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,ifi-patient-capital-manifesto,IFI Patient Capital Manifesto,Patient Capital,Unknown Candidate,patient capital provider / evergreen fund / holding company,https://www.innovative.finance/patient,unknown,public_web,Unknown,Unknown,Unknown,unknown,patient capital provider / evergreen fund / holding company,candidate supports industry mapping outside or adjacent to classic unicorn VC,patient capital provider / evergreen fund / holding company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,b2b-software-company-buyers,B2B Software Company Buyers,Portfolio Capital,Unknown Candidate,software acquisition firm,https://softwareexit.com/b2b-software-buyers,unknown,public_web,Unknown,Unknown,Unknown,unknown,software acquisition firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquisition firm,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,eta,ETA,Search/ETA,Unknown Candidate,software acquisition firm,https://www.searchfund.org/search,unknown,public_web,Unknown,Unknown,Unknown,unknown,software acquisition firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,software acquisition firm,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,indie-hacker-success-stories-database,Indie Hacker Success Stories Database,LMV,Unknown Candidate,LMV capital provider / indie fund / AI-native micro venture platform,https://www.mrrstory.com/stories,unknown,public_web,Unknown,Unknown,Unknown,unknown,LMV capital provider / indie fund / AI-native micro venture platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,LMV capital provider / indie fund / AI-native micro venture platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,investments,Investments,Sovereign Capital,Unknown Candidate,sovereign or public strategic capital provider,https://www.whitehouse.gov/investments,unknown,public_web,Unknown,Unknown,Unknown,unknown,sovereign or public strategic capital provider,candidate supports industry mapping outside or adjacent to classic unicorn VC,sovereign or public strategic capital provider,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,roll-up-strategy-2026,Roll-Up Strategy 2026,Search/ETA,Unknown Candidate,venture studio / startup studio / software holding company,https://ctacquisitions.com/roll-up-strategy-guide-2026,unknown,public_web,Unknown,Unknown,Unknown,unknown,venture studio / startup studio / software holding company,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio / startup studio / software holding company,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,saas-valuation-multiples-2026,SaaS Valuation Multiples 2026,SMV,Unknown Candidate,capital provider / fund / acquirer / platform,https://windsordrake.com/saas-valuation-multiples,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
delete_from_entities,obvious non-allocator (article title / tech corp / SaaS product / generic term),2026-05-28T21:49:18+00:00,industry_entities.csv,search-fund-resources,Search Fund Resources,Search/ETA,Unknown Candidate,search fund investor / ETA platform / acquisition community,https://smash.vc/search-fund,unknown,public_web,Unknown,Unknown,Unknown,unknown,search fund investor / ETA platform / acquisition community,candidate supports industry mapping outside or adjacent to classic unicorn VC,search fund investor / ETA platform / acquisition community,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,,,,,,,,,
