instrument_id,instrument_name,provider_entity_id,provider_name,asset_class,description,source_url,evidence_status,notes
revenue_share,Revenue share,tinyseed,TinySeed,SMV,Capital where repayment or investor economics are linked to company revenue.,https://tinyseed.com/,verified_fact,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,lighter-capital,Lighter Capital,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://www.lightercapital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,decathlon-capital-partners,Decathlon Capital Partners,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://decathloncapital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,timia-capital,TIMIA Capital,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://timiacapital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,flow-capital,Flow Capital,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://flowcap.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,wayflyer,Wayflyer,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://wayflyer.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,clearco,Clearco,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://clear.co/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,getvantage,GetVantage,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://www.getvantage.co/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,velocity,Velocity,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://velocity.in/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
revenue_based_financing,Revenue-based financing,klub,Klub,SMV,Repayment tied to revenue or recurring revenue rather than traditional VC equity.,https://klubworks.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
shared_earnings,Shared earnings,calm-company-fund,Calm Company Fund,Patient Capital,Investor return linked to shared earnings/profit rather than forced exit economics.,https://calmfund.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
shared_earnings,Shared earnings,earnest-capital,Earnest Capital,Patient Capital,Investor return linked to shared earnings/profit rather than forced exit economics.,https://earnestcapital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
shared_earnings,Shared earnings,indie-vc,Indie.vc,Patient Capital,Investor return linked to shared earnings/profit rather than forced exit economics.,https://www.indie.vc/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
non_dilutive_capital,Non-dilutive growth capital,founderpath,Founderpath,SMV,Capital positioned around preserving founder ownership while funding growth.,https://founderpath.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
non_dilutive_capital,Non-dilutive growth capital,capchase,Capchase,SMV,Capital positioned around preserving founder ownership while funding growth.,https://www.capchase.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
non_dilutive_capital,Non-dilutive growth capital,uncapped,Uncapped,SMV,Capital positioned around preserving founder ownership while funding growth.,https://www.weareuncapped.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
non_dilutive_capital,Non-dilutive growth capital,braavo-capital,Braavo Capital,LMV,Capital positioned around preserving founder ownership while funding growth.,https://www.getbraavo.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_debt,Growth debt,saas-capital,SaaS Capital,SMV,Debt or structured capital for software companies that do not want or need more equity.,https://www.saas-capital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_debt,Growth debt,bigfoot-capital,Bigfoot Capital,SMV,Debt or structured capital for software companies that do not want or need more equity.,https://bigfootcap.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_debt,Growth debt,espresso-capital,Espresso Capital,SMV,Debt or structured capital for software companies that do not want or need more equity.,https://www.espressocapital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
embedded_finance,Embedded platform finance,stripe-capital,Stripe Capital,SMV,"Capital embedded into payments, commerce, or platform workflows.",https://stripe.com/capital,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
embedded_finance,Embedded platform finance,shopify-capital,Shopify Capital,SMV,"Capital embedded into payments, commerce, or platform workflows.",https://www.shopify.com/capital,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
embedded_finance,Embedded platform finance,paypal-working-capital,PayPal Working Capital,SMV,"Capital embedded into payments, commerce, or platform workflows.",https://www.paypal.com/us/business/financial-services/working-capital,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
embedded_finance,Embedded platform finance,youlend,YouLend,SMV,"Capital embedded into payments, commerce, or platform workflows.",https://www.youlend.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
embedded_finance,Embedded platform finance,liberis,Liberis,SMV,"Capital embedded into payments, commerce, or platform workflows.",https://www.liberis.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
embedded_finance,Embedded platform finance,parafin,Parafin,SMV,"Capital embedded into payments, commerce, or platform workflows.",https://www.parafin.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
growth_equity_for_bootstrapped_software,Growth equity for bootstrapped software,dwp-capital,DWP Capital,SMV,"Minority, majority, or flexible growth equity for founder-led, capital-efficient software companies that may not fit classic unicorn VC.",https://dwpcapital.com/,candidate_evidence,Provider-instrument mapping is seed-level and should be verified against provider pages.
