claim_id,entity_id,entity_name,claim_type,claim,source_url,source_type,source_quality,source_tier,evidence_status,last_verified_at,notes
claim-levenue-001,levenue,Levenue,classification,Levenue is a candidate marketplace for recurring-revenue financing.,https://www.levenue.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-arc-001,arc,Arc,classification,Arc is a candidate capital and banking platform for startups.,https://www.arc.tech/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-recur-club-001,recur-club,Recur Club,classification,Recur Club is a candidate recurring-revenue financing marketplace.,https://www.recurclub.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-searchfunder-001,searchfunder,Searchfunder,classification,Searchfunder is a candidate central ecosystem platform for search funds.,https://www.searchfunder.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-search-fund-alliance-001,search-fund-alliance,Search Fund Alliance,classification,Search Fund Alliance is a candidate search fund ecosystem network.,https://www.searchfundalliance.org/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-stanford-search-fund-center-001,stanford-search-fund-center,Stanford Search Fund Center,classification,Stanford's search fund research center is a candidate authoritative source for ETA taxonomy.,https://www.gsb.stanford.edu/experience/about/centers-institutes/ces/research/search-funds,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-acquire-com-001,acquire-com,Acquire.com,classification,Acquire.com is a candidate acquisition marketplace for the industry atlas.,https://acquire.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-flippa-001,flippa,Flippa,classification,Flippa is a candidate online business acquisition marketplace.,https://flippa.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-empire-flippers-001,empire-flippers,Empire Flippers,classification,Empire Flippers is a candidate online business acquisition marketplace.,https://empireflippers.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-fe-international-001,fe-international,FE International,classification,FE International is a candidate M&A advisory platform for tech-enabled businesses.,https://feinternational.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-axial-001,axial,Axial,classification,Axial is a candidate lower-middle-market deal network.,https://www.axial.net/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-bitsfordigits-001,bitsfordigits,BitsForDigits,classification,BitsForDigits is a candidate internet business acquisition marketplace.,https://bitsfordigits.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-microns-001,microns,Microns,classification,Microns is a candidate micro-startup marketplace.,https://www.microns.io/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-zebras-unite-001,zebras-unite,Zebras Unite,classification,Zebras Unite is a candidate movement/community source for non-unicorn company models.,https://www.zebrasunite.org/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-ai-grant-001,ai-grant,AI Grant,classification,AI Grant is a candidate AI-era micro-capital entity.,https://aigrant.org/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-indie-hackers-001,indie-hackers,Indie Hackers,classification,Indie Hackers is a candidate discourse/community node for LMV and seedstrapping evidence.,https://www.indiehackers.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-eta-london-intake-001,eta-london,ETA London,intake_search-eta_bucket_signal,ETA London has source-backed Search/ETA bucket evidence: source text contains 'search fund'.,https://acquisition-entrepreneurs.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Explore the directory Upcoming events → 39 UK Search Funds 34 Active Investors 10 Acquired Companies 6 Other ETA Vehicles Next London ETA event 28 May 2026 ETA London Community Dri
claim-eta-london-intake-002,eta-london,ETA London,intake_search-eta_bucket_signal,ETA London has source-backed Search/ETA bucket evidence: source text contains 'entrepreneurship through acquisition'.,https://acquisition-entrepreneurs.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: ETA London - Entrepreneurship Through Acquisition ETA London - Entrepreneurship Through Acquisition Skip to content Home UK ETA Directory Resources Events About Contact Us Home UK 
claim-eta-london-intake-003,eta-london,ETA London,intake_search-eta_bucket_signal,ETA London has source-backed Search/ETA bucket evidence: source text contains 'self-funded search'.,https://acquisition-entrepreneurs.com,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Browse all → 6 Other ETA Vehicles Holdcos, self-funded searchers, accelerators, and partnered searches."
claim-founders-first-cdc-intake-001,founders-first-cdc,Founders First CDC,intake_sovereign-capital_bucket_signal,Founders First CDC has source-backed Sovereign Capital bucket evidence: source text contains 'government'.,https://foundersfirstcdc.org/about,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: We recognize the definition of minority business owner as the tool and certification program that has been used for decades by the government and major corporations to engage and c
claim-founders-first-cdc-intake-002,founders-first-cdc,Founders First CDC,intake_sovereign-capital_bucket_signal,Founders First CDC has source-backed Sovereign Capital bucket evidence: source text contains 'national'.,https://foundersfirstcdc.org/about,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: About Grants - Founders First CDC About Grants - Founders First CDC About Our Impact Privacy Policy Careers Programs Passport On-Demand Passport Community Passport Premium FastPath
claim-faith-driven-investor-intake-001,faith-driven-investor,Faith Driven Investor,intake_sovereign-capital_bucket_signal,Faith Driven Investor has source-backed Sovereign Capital bucket evidence: source text contains 'national'.,https://faithdriveninvestor.org/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: RETAIL INVESTOR ACCREDITED INVESTOR More than $1M (More than $1M) QUALIFIED PURCHASER More than $5M More than $5M FUND MANAGERS FINANCIAL ADVISOR COMMUNITIES AND CHURCHES Explore O
claim-faith-driven-investor-intake-002,faith-driven-investor,Faith Driven Investor,intake_sovereign-capital_bucket_signal,Faith Driven Investor has source-backed Sovereign Capital bucket evidence: source text contains 'national champion'.,https://faithdriveninvestor.org/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: RETAIL INVESTOR ACCREDITED INVESTOR More than $1M (More than $1M) QUALIFIED PURCHASER More than $5M More than $5M FUND MANAGERS FINANCIAL ADVISOR COMMUNITIES AND CHURCHES Explore O
claim-codelaunch-intake-001,codelaunch,CodeLaunch,intake_patient-capital_bucket_signal,CodeLaunch has source-backed Patient Capital bucket evidence: source text contains 'legacy'.,https://codelaunch.com/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: NEWSLETTER SIGNUP Enter Your Email Δ FOLLOW US ON SOCIAL Facebook X-twitter Linkedin Instagram Youtube Podcast CONTACT US [email protected] 5445 Legacy Dr Suite #190 Plano, TX 7502"
claim-codelaunch-intake-002,codelaunch,CodeLaunch,intake_patient-capital_bucket_signal,CodeLaunch has source-backed Patient Capital bucket evidence: source text contains 'impact'.,https://codelaunch.com/,fetched_source_page,primary,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: NCE 2013 $ 0 M FINALISTS ACCELERATED SINCE 2013 0 EVENTS SINCE 2013 0 INVESTOR RESOURCES CodeLaunch By The Numbers → Discover the impact made by our previous CodeLaunch winners and
claim-elobau-intake-001,elobau,Elobau,intake_patient-capital_bucket_signal,Elobau has source-backed Patient Capital bucket evidence: source text contains 'mission'.,https://www.elobau.com/,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: I agree to this by the submission of this form.
claim-elobau-intake-002,elobau,Elobau,intake_patient-capital_bucket_signal,Elobau has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,https://www.elobau.com/,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: I am interested in the following newsletter: Off Highway (mobile machinery): Control elements, level measurement, sensor technology Industrial applications: Level measurement, sens"
claim-foundry-intake-001,foundry,Foundry,intake_patient-capital_bucket_signal,Foundry has source-backed Patient Capital bucket evidence: source text contains 'mission'.,https://hbsfoundry.org,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Foundry — Harvard Business School's AI-Powered Startup Community Foundry — Harvard Business School's AI-Powered Startup Community Programs AI Experiences Security Mission Podcast A
claim-foundry-intake-002,foundry,Foundry,intake_patient-capital_bucket_signal,Foundry has source-backed Patient Capital bucket evidence: source text contains 'purpose'.,https://hbsfoundry.org,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Foundry — Harvard Business School's AI-Powered Startup Community Foundry — Harvard Business School's AI-Powered Startup Community Programs AI Experiences Security Mission Podcast A
claim-foundry-intake-003,foundry,Foundry,intake_patient-capital_bucket_signal,Foundry has source-backed Patient Capital bucket evidence: source text contains 'foundation'.,https://hbsfoundry.org,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: states Your Path to Success Success 01 Foundry Bootcamp Bootcamp is our foundational program for deep tech founders ready to move from raw idea to funding-ready pitch.
claim-foundry-intake-004,foundry,Foundry,intake_patient-capital_bucket_signal,Foundry has source-backed Patient Capital bucket evidence: source text contains 'legacy'.,https://hbsfoundry.org,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Harvard Business School has built a legacy of entrepreneurial impact.
claim-foundry-intake-005,foundry,Foundry,intake_patient-capital_bucket_signal,Foundry has source-backed Patient Capital bucket evidence: source text contains 'impact'.,https://hbsfoundry.org,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,Auto-promoted intake evidence; not paper-ready. Snippet: Harvard Business School has built a legacy of entrepreneurial impact.
claim-foundry-intake-006,foundry,Foundry,intake_patient-capital_bucket_signal,Foundry has source-backed Patient Capital bucket evidence: source text contains 'impact-driven'.,https://hbsfoundry.org,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-28,"Auto-promoted intake evidence; not paper-ready. Snippet: Collaborate With Us With Us Foundry works closely with VCs, accelerators, and impact-driven organizations who share our mission."
