lead_id,name,lead_type,website,source_urls,discovered_from,target_asset_class,target_entity_type,active_status,source_tier,priority,evidence_status,review_status,created_at,notes
intake-web-9c3b1525e63e,Growth Capital for B2B Software & Services Companies,web_search_result,https://elsewhere.partners,https://elsewhere.partners,duckduckgo:target-002-smv,SMV,capital provider / fund / acquirer / platform,unknown,public_web,high,needs_verification,duplicate,2026-05-24,Public-web discovery result from query: bootstrapped founder-led B2B software growth equity capital efficient. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://elsewhere.partners/
intake-web-5abdbdfa2b7b,Search Fund,web_search_result,https://www.searchfund.org,https://www.searchfund.org,duckduckgo:target-009-search-eta,Search/ETA,software acquisition firm,unknown,public_web,high,needs_verification,duplicate,2026-05-26,Public-web discovery result from query: search fund investors entrepreneurship through acquisition list. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://www.searchfund.org/search
intake-web-c2376b1e8b30,The Nato Innovation Fund,web_search_result,https://www.nif.fund,https://www.nif.fund,duckduckgo:target-011-sovereign-capital,Sovereign Capital,sovereign or public strategic capital provider,unknown,public_web,high,needs_verification,duplicate,2026-05-26,Public-web discovery result from query: sovereign innovation fund national technology startups AI defense climate. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://www.nif.fund/
intake-web-849e19746ffe,A financing program built for your platform,web_search_result,https://www.parafin.com,https://www.parafin.com,duckduckgo:target-015-instrument,SMV,capital provider / fund / acquirer / platform,unknown,public_web,medium,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: embedded finance working capital revenue-based financing platform merchants small business non-dilutive. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://www.parafin.com/
intake-web-2a945380d1e4,Venture Studio,web_search_result,https://foundersfactory.com/studio,https://foundersfactory.com/studio,duckduckgo:target-010-portfolio-capital,Portfolio Capital,venture studio,unknown,public_web,high,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: venture studio startup foundry company builder shared infrastructure. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://foundersfactory.com/
intake-manual-840615f4e519,NextGen GP,manual_curation,https://nextgengp.com/,https://nextgengp.com/,manual:claude_curation_2026-05-28,Search/ETA,search fund accelerator,active,public_web,high,needs_verification,duplicate,2026-05-28,Manually curated 2026-05-28 from WebSearch and domain knowledge of non-unicorn capital. Search-fund accelerator and ETA resource publisher. Intake promotion agent marked duplicate: duplicate entity domain: https://nextgengp.com/resources
intake-manual-1b24042c24ff,Merit Network,manual_curation,https://meritholdings.com/,https://meritholdings.com/,manual:claude_curation_2026-05-28,Portfolio Capital,vertical SaaS holdco,active,public_web,high,needs_verification,duplicate,2026-05-28,Manually curated 2026-05-28 from WebSearch and domain knowledge of non-unicorn capital. Holding company for hyper-specialized vertical software businesses. Intake promotion agent marked duplicate: duplicate entity domain: https://www.meritholdings.com
intake-manual-e95b8ec12f4a,Volaris,manual_curation,https://www.volarisgroup.com/,https://www.volarisgroup.com/,manual:claude_curation_2026-05-28,Portfolio Capital,vertical software holding company,active,public_web,high,needs_verification,duplicate,2026-05-28,Manually curated 2026-05-28 from WebSearch and domain knowledge of non-unicorn capital. Constellation Software operating group acquiring vertical-market software. Intake promotion agent marked duplicate: duplicate entity domain: https://www.volarisgroup.com/
intake-manual-9b21cd97aff9,Purpose Foundation,manual_curation,https://purpose-economy.org/en/foundation/,https://purpose-economy.org/en/foundation/,manual:claude_curation_2026-05-28,Patient Capital,steward-ownership foundation,active,public_web,high,needs_verification,duplicate,2026-05-28,Manually curated 2026-05-28 from WebSearch and domain knowledge of non-unicorn capital. Foundation that converts companies to permanent steward-owned structures. Intake promotion agent marked duplicate: duplicate entity domain: https://purpose-economy.org/en/pec/
intake-curated2-4b8911bde406,Aventis Advisors,manual_curation,https://www.aventis-advisors.com/,https://www.aventis-advisors.com/,manual:claude_curation_round2_2026-05-28,Portfolio Capital,M&A advisory + analyst,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 2 on 2026-05-28 from WebSearch firm-list articles. Software M&A advisory tracking European software PE landscape. Intake promotion agent marked duplicate: duplicate entity domain: https://aventis-advisors.com/software-valuation-multiples
intake-curated5-dbd81e7ddfaa,Pioneer.app,manual_curation,https://pioneer.app/,https://pioneer.app/,manual:claude_curation_round5_2026-05-28,LMV,global founder tournament,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 5 on 2026-05-28. Global tournament + community-led founder funding. Intake promotion agent marked duplicate: duplicate entity domain: https://pioneer.app/
intake-web-912e730c559e,Startupbootcamp for Investors,web_search_result,https://startupbootcamp.org/investors,https://startupbootcamp.org/investors,duckduckgo:target-036-smv,SMV,capital provider / fund / acquirer / platform,unknown,public_web,low,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: bootcamp accelerator alternative capital revenue financing fellowship founder grant. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://startupbootcamp.org
intake-web-82fdc1856779,FounderLed,web_search_result,https://founderpath.com/founderled,https://founderpath.com/founderled,duckduckgo:target-002-smv,SMV,capital provider / fund / acquirer / platform,unknown,public_web,high,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: bootstrapped founder-led B2B software growth equity capital efficient. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://founderpath.com/
intake-curated8-ae2f1b39ea59,Topicus.com,manual_curation,https://www.topicus.com/,https://www.topicus.com/,manual:claude_curation_round8_2026-05-28,Portfolio Capital,European VMS holdco,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 8 on 2026-05-28. Constellation spinoff acquiring European vertical software. Intake promotion agent marked duplicate: duplicate entity domain: https://www.topicus.com/
intake-curated8-9f70650f66dd,Global Impact Investing Network (GIIN),manual_curation,https://thegiin.org/,https://thegiin.org/,manual:claude_curation_round8_2026-05-28,Sovereign Capital,impact-investing network,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 8 on 2026-05-28. Industry network promoting impact investing globally. Intake promotion agent marked duplicate: duplicate entity domain: https://thegiin.org/
intake-curated8-49f7e6251f71,Acumen Fund,manual_curation,https://acumen.org/,https://acumen.org/,manual:claude_curation_round8_2026-05-28,Sovereign Capital,patient impact capital,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 8 on 2026-05-28. Patient impact capital for poverty-alleviation businesses. Intake promotion agent marked duplicate: duplicate entity domain: https://acumen.org/
intake-web-6b562d6d8bf4,The Calm Company Fund Investment Thesis,web_search_result,https://calmfund.com/thesis,https://calmfund.com/thesis,duckduckgo:target-023-lmv,LMV,LMV capital provider / indie fund / AI-native micro venture platform,unknown,public_web,medium,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: bootstrapped SaaS calm company profitable indie founder community capital revenue. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://calmfund.com/
intake-web-094e50aa8d54,Startup Capital With Zero Dilution,web_search_result,https://www.lightercapital.com,https://www.lightercapital.com,duckduckgo:target-025-smv,SMV,capital provider / fund / acquirer / platform,unknown,public_web,high,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: revenue based financing alternative venture capital growth founder friendly software. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://www.lightercapital.com/
intake-web-990c67859580,What Is an Independent Sponsor? 2026 Guide to Fundless Sponsors in M&A,web_search_result,https://ctacquisitions.com/what-is-an-independent-sponsor,https://ctacquisitions.com/what-is-an-independent-sponsor,duckduckgo:target-031-search-eta,Search/ETA,search fund investor / ETA platform / acquisition community,unknown,public_web,medium,needs_verification,duplicate,2026-05-28,Public-web discovery result from query: independent sponsor fundless sponsor private equity acquire single business no committed fund. Confirm source text before promotion. Intake promotion agent marked duplicate: duplicate entity domain: https://ctacquisitions.com/roll-up-strategy-guide-2026
intake-curated9-135761a61239,Mubadala Investment Company,manual_curation,https://www.mubadala.com/,https://www.mubadala.com/,manual:claude_curation_round9_2026-05-28,Sovereign Capital,Abu Dhabi sovereign fund,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 9 on 2026-05-28. Abu Dhabi sovereign wealth fund. Intake promotion agent marked duplicate: duplicate entity domain: https://www.mubadala.com/
intake-curated10-f4f2022015e4,Tiny Capital,manual_curation,https://www.tiny.com/,https://www.tiny.com/,manual:claude_curation_round10_2026-05-28,Patient Capital,permanent-equity holdco,active,public_web,high,needs_verification,duplicate,2026-05-28,Curated round 10 on 2026-05-28. Andrew Wilkinson permanent-equity holdco; buys internet businesses to hold. Intake promotion agent marked duplicate: duplicate entity domain: https://www.tiny.com/
