entity_id,entity_name,primary_asset_class,entity_type,website,fit_score,entity_evidence_status,claim_id,claim_type,claim,claim_evidence_status,claim_confidence,source_url,source_quality,source_tier,source_text_snippet,paper_ready
tinyseed,TinySeed,LMV,accelerator/fund,https://tinyseed.com/,93,verified_fact,claim-tinyseed-001,classification,TinySeed is a candidate industry entity for bootstrapped SaaS and revenue-linked startup capital.,verified_fact,90,https://tinyseed.com/,primary,public_web,,0
sv8,SV8,LMV,fund/syndicate,https://sv8.vc/,92,candidate_evidence,claim-sv8-001,classification,SV8 is a candidate acquisition-first venture entity for the SMV lane.,candidate_evidence,65,https://sv8.vc/,primary,public_web,,0
hf0,HF0,LMV,AI residency/fund,https://www.hf0.com/,72,candidate_evidence,claim-hf0-001,classification,HF0 is a candidate AI-native founder capital program.,candidate_evidence,65,https://www.hf0.com/,primary,public_web,,0
pioneer,Pioneer,LMV,founder platform,https://pioneer.app/,70,candidate_evidence,claim-pioneer-001,classification,Pioneer is a candidate founder discovery and micro-capital platform.,candidate_evidence,65,https://pioneer.app/,primary,public_web,,0
weekend-fund,Weekend Fund,LMV,venture fund,https://weekend.fund/,68,candidate_evidence,claim-weekend-fund-001,classification,Weekend Fund is a candidate micro/early-stage fund for the LMV lane.,candidate_evidence,65,https://weekend.fund/,primary,public_web,,0
1337-ventures,1337 Ventures,LMV,Malaysia early-stage VC / accelerator,https://1337.ventures/,62,candidate_evidence,claim-1337-ventures-intake-001,intake_lmv_bucket_signal,1337 Ventures has source-backed LMV bucket evidence: source text contains 'accelerator'.,candidate_evidence,65,https://1337.ventures/,primary,public_web,,0
1337-ventures,1337 Ventures,LMV,Malaysia early-stage VC / accelerator,https://1337.ventures/,62,candidate_evidence,claim-1337-ventures-intake-002,intake_lmv_bucket_signal,1337 Ventures has source-backed LMV bucket evidence: source text contains 'incubator'.,candidate_evidence,65,https://1337.ventures/,primary,public_web,,0
212,212,LMV,venture_capital,https://212.vc,62,candidate_evidence,claim-212-intake-001,intake_lmv_bucket_signal,212 has source-backed LMV bucket evidence: source text contains 'fellowship'.,candidate_evidence,65,https://212.vc,primary,public_web,,0
212,212,LMV,venture_capital,https://212.vc,62,candidate_evidence,claim-212-intake-002,intake_lmv_bucket_signal,212 has source-backed LMV bucket evidence: source text contains 'accelerator'.,candidate_evidence,65,https://212.vc,primary,public_web,,0
212,212,LMV,venture_capital,https://212.vc,62,candidate_evidence,claim-212-intake-003,intake_lmv_bucket_signal,212 has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://212.vc,primary,public_web,,0
ajvc,AJVC,LMV,India solo-GP pre-seed fund,https://www.ajuniorvc.com,62,candidate_evidence,claim-ajvc-intake-001,intake_lmv_bucket_signal,AJVC has source-backed LMV bucket evidence: source text contains 'first-time founders'.,candidate_evidence,65,https://www.ajuniorvc.com,primary,public_web,,0
ajvc,AJVC,LMV,India solo-GP pre-seed fund,https://www.ajuniorvc.com,62,candidate_evidence,claim-ajvc-intake-002,intake_lmv_bucket_signal,AJVC has source-backed LMV bucket evidence: source text contains 'founder-first'.,candidate_evidence,65,https://www.ajuniorvc.com,primary,public_web,,0
ajvc,AJVC,LMV,India solo-GP pre-seed fund,https://www.ajuniorvc.com,62,candidate_evidence,claim-ajvc-intake-003,intake_lmv_bucket_signal,AJVC has source-backed LMV bucket evidence: source text contains 'founder first'.,candidate_evidence,65,https://www.ajuniorvc.com,primary,public_web,,0
ajvc,AJVC,LMV,India solo-GP pre-seed fund,https://www.ajuniorvc.com,62,candidate_evidence,claim-ajvc-intake-004,intake_lmv_bucket_signal,AJVC has source-backed LMV bucket evidence: source text contains 'fund i'.,candidate_evidence,65,https://www.ajuniorvc.com,primary,public_web,,0
activat-vc,Activat VC,LMV,Kazakhstan venture capital firm,https://activat.vc/en,62,candidate_evidence,claim-activat-vc-intake-001,intake_lmv_bucket_signal,Activat VC has source-backed LMV bucket evidence: source text contains 'incubator'.,candidate_evidence,65,https://activat.vc/en,primary,public_web,,0
activat-vc,Activat VC,LMV,Kazakhstan venture capital firm,https://activat.vc/en,62,candidate_evidence,claim-activat-vc-intake-002,intake_lmv_bucket_signal,Activat VC has source-backed LMV bucket evidence: source text contains 'syndicate'.,candidate_evidence,65,https://activat.vc/en,primary,public_web,,0
ajim-capital,Ajim Capital,LMV,Africa emerging-manager micro fund,https://ajimcapital.com,62,candidate_evidence,claim-ajim-capital-intake-001,intake_lmv_bucket_signal,Ajim Capital has source-backed LMV bucket evidence: source text contains 'ai-native'.,candidate_evidence,65,https://ajimcapital.com,primary,public_web,,0
