class,class_name,subclass,subclass_name,name,tier,target_economy,geography,anchor_class,self_id_quote,evidence_url,note
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Alexandria Capital,verified,tech,,,"We do not sell our companies after acquisition, as we hold businesses permanently.",https://alexcapital.co/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Banyan Software,verified,tech,,,We don't resell your business down the road.,https://www.banyansoftware.com/about,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Big Band Software,verified,tech,,,"we buy and run companies without pressure to quickly extract or flip. In an industry addicted to quick wins, we chase enduring value.",https://www.bigbandsoftware.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Croissant,verified,tech,Benelux/France/DACH,,"We buy, optimize, and hold. Forever... We're not here to flip.",https://croissant.today/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Curious (Curious Holdings),verified,tech,,,"We're focused on legacy, resilience, and continuous reinvention, not raising additional funds or future exits.",https://www.curiousholdings.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Define Capital,verified,tech,,,We buy and hold forever.,https://definecapital.ca/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Everfield,verified,tech,Europe,,We don't want to disrupt your progress by selling your business at any point in the future.,https://everfield.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Evergreen Financial Technology Group,verified,tech,US/Canada,,A Long-term home for great software businesses that serve financial institutions... Owner's Mindset: We acquire and build businesses with a long-term horizon.,https://evergreenftg.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Evergreen Services Group,verified,tech,,,"As a permanent owner, we are a true home for the companies we partner with, preserving what has made each business great while accelerating long-term growth.",https://www.evergreensg.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Evermore,verified,tech,,,We buy founder-led software companies and grow them forever.,https://evermore-ventures.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Everroost,verified,tech,,,"We don't strip and flip - we invest, improve, and operate for the long term.",https://everroost.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,EviGrow Software,verified,tech,,,We never intend to sell a company once it has joined our group.,https://www.evigrowsoftware.com/about,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Exa Capital,verified,tech,,,"Without pressure to sell portfolio companies, we make decisions that build value over decades, not just quarters.",https://exacapital.co/our-private-equity-acquisition-approach/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Flying Founders,verified,tech,EU / Slovakia,,"Hold long-term, focus on profitable growth and dividends, no pressure to raise or exit.",https://www.flyingfounders.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,GSG GENII,verified,tech,Europe/DACH,,"Unlike traditional private equity investors, we think long-term. We do not buy to sell on - and we do not build for the exit. Instead, we provide a permanent home for companies that want to grow sustainably.",https://gsg-genii.com/en/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Jonas Software,verified,tech,,,"At Jonas, we buy and hold forever. This is our ""Software for Life"" promise that we never sell the businesses we acquire.",https://jonassoftware.com/being-acquired,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Leo Software Group,verified,tech,,,Our mission is simple: to buy and operate software businesses that we want to own forever.,https://www.leosoftwaregroup.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Mosaic Software Group,verified,tech,US/Canada,,"Our buy-and-hold philosophy, underpinned by our permanent capital base, ensures that we act in the long-term best interests for the team, customers, and company itself.",https://www.mosaicsoftwaregroup.com/,
A,Portfolio Capital,A1,Vertical & enterprise-software permanent holdcos,Quadra Group,verified,tech,,,"Quadra Group is a permanent capital holding company, primarily focused on the acquisition and scaling of specialized vertical market software (VMS), and digital service companies in continental Europe.",https://www.quadragroup.co.uk/,
