lead_id,verdict,page_type,self_described_class,class_match,final_action,note
intake-web-6df7c633de9d,unverifiable,other,none,False,keep_flag_unverifiable,Homepage returns HTTP 403 Forbidden on both www.infigos.com and infigos.com; cannot verify whether it deploys its own capital to acquire software companies.
intake-web-0a541f535a9a,junk_not_allocator,other,none,False,confirmed_junk,"Homepage: 'Evergreen Fund is the parent organization to innovative treatment and recovery companies, including world-class luxury residential treatment and recovery mansions in Beverly Hills' — an operating holding company in the addiction/"
intake-web-139e4956c4ab,junk_not_allocator,consultancy_or_advisor,none,False,confirmed_junk,"Homepage: 'We help founders, enterprises, and institutions build startups, DPI platforms, and global capability centers (GCC) — end to end' — positioned as a venture creation and execution service partner, not a capital provider."
intake-web-6a3734baca40,junk_not_allocator,network_or_membership,none,False,confirmed_junk,"Homepage: 'The Venture Studio Forum serves as the central hub for the venture studio ecosystem, advancing industry standards, connecting key stakeholders' — a membership/industry network organization, not a capital allocator."
intake-web-70e6e1399baf,unverifiable,other,none,False,keep_flag_unverifiable,Both diana.nato.int and www.diana.nato.int return HTTP 403 Forbidden; cannot independently verify the homepage's self-description of its grant/accelerator model.
intake-web-63202422eec9,genuine_correct,allocator,Patient Capital,True,keep_promotion_eligible,Homepage: 'Purpose Group is a permanent holding company that acquires and operates small to mid-size businesses for the long term' — textbook patient/permanent capital allocator.
intake-art-f9b10d19fbc9,genuine_correct,allocator,SMV,True,keep_promotion_eligible,Homepage describes a 'trusted global software & technology capital partner' with '$23BN in cumulative capital commitments' and 500+ investments focused on middle-market enterprise software — fits SMV (middle-market software allocator).
intake-art-70fedcfbf802,genuine_misclassified,allocator,Portfolio Capital,False,keep_flag_classification,"Homepage: 'the world's largest software-focused investment firm' with '$172B+ assets under management' and ~590 transactions / $320B+ aggregate enterprise value — clearly upper-middle/large-cap software buyout PE, not SMV (Strategic Middle "
intake-art-91ef09cb77ac,genuine_misclassified,allocator,Portfolio Capital,False,keep_flag_classification,"GTCR self-describes as a Chicago private equity firm using 'The Leaders Strategy(TM)' to identify, acquire and build mid-market buyout companies (e.g. $24B Worldpay deal) — mainstream mid-market PE/LBO, not the non-unicorn growth/RBF profil"
intake-manual-42122dc05f01,junk_not_allocator,consultancy_or_advisor,none,False,confirmed_junk,"avantecapital.com homepage self-describes as 'Strategic Business Services Across the Americas and Beyond' — a Toronto advisory offering 'Market and Economic Research', 'Corporate and Project Finance' advisory and 'Operations Management'; no"
intake-manual-a58c0bd5dd4d,genuine_correct,allocator,Search/ETA,True,keep_promotion_eligible,"Family office founded 2009 investing capital in search-fund entrepreneurs across 250+ partnerships, with self-described 'partnership, not just investment' — committed-capital, due-diligence, and multi-search vehicles. Clean Search/ETA fit ("
intake-manual-736de68a8036,unverifiable,product_or_saas,none,False,keep_flag_unverifiable,"relaycommerce.com homepage returns empty (JS-only). LinkedIn self-description says Relay Commerce offers 'scaling solutions across personalized messaging, social commerce, and customer retention' and helps '35,000 merchants' — reads as a Sa"
intake-manual-590104faa3fa,junk_not_allocator,product_or_saas,none,False,confirmed_junk,"embracesoftware.com belongs to the K-12 special-education SaaS firm in Highland, Illinois (founded 1999), self-describing as providing 'high quality, easy-to-use software & superior customer service enabling educators to maximize their impa"
intake-manual-d9ab05cb0718,junk_not_allocator,network_or_membership,none,False,confirmed_junk,"wearetern.com is TERN — The Entrepreneurial Refugee Network, a UK non-profit social enterprise with a 'mission to enable refugees to thrive through the power of their own ideas', supporting 'refugee entrepreneurs in the creation and develop"
intake-manual-7ae439986ef5,genuine_correct,allocator,LMV,True,keep_promotion_eligible,"Homepage: 'We invest in hilariously early startups' and 'We don't wait for someone else to lead' — operator-led pre-seed micro-VC making fast decisions (1-2 meetings, wire within the week), with an Angel Squad co-invest community. Clean LMV"
intake-manual-e269b3cf866b,unverifiable,allocator,LMV,True,keep_flag_unverifiable,banana.capital homepage is JS-only — returned only 'Banana.Capital. You need to enable JavaScript to run this app.' Bing/DDG results are dominated by banana-fruit noise and search engines block. Cannot verify own-page self-description from 
intake-manual-52d9cfd9f8aa,unverifiable,other,none,False,keep_flag_unverifiable,Homepage returned HTTP 522 Unknown Status on both beondeck.com and /about; cannot confirm allocator status or fellowship+capital framing from the live page.
intake-manual-f7f0ab0238e8,genuine_correct,allocator,LMV,True,keep_promotion_eligible,"Homepage announces 'MAGIC Fund Raises $30 Million Debut Fund To Scale its Global Founders-Backing-Founders Vision' — a micro/early-stage fund collective of founder-investors, consistent with LMV solo-GP/micro-fund framing."
intake-manual-6ef3960b9e29,genuine_correct,allocator,SMV,True,keep_promotion_eligible,"Homepage states 'Karmen has recently raised 100 million euros from Fasanara Capital in debt' to fund 'Karmen Loan' (1-24 month) and 'Karmen Factor' invoice financing — a balance-sheet lender originating off its own warehouse facility, genui"
intake-manual-53613b37ed92,unverifiable,other,none,False,keep_flag_unverifiable,WebFetch returned empty body on waltonenterprises.com and /about/ — homepage appears JS-only or content-gated; cannot judge allocator status from live page text.
intake-manual-b32137a187db,unverifiable,other,none,False,keep_flag_unverifiable,wellcome.org returned HTTP 403 Forbidden on root and /about-us — cannot extract self-description text to verify perpetual-foundation/endowment-allocator framing on the live page.
intake-curated2-d3ed1584a353,unverifiable,other,none,False,keep_flag_unverifiable,waltonfamilyholdings.com returned ECONNREFUSED on both https and bare hostname — domain appears unreachable; cannot verify family-office direct-investment framing.
