entity_id,name,primary_asset_class,target_economy,is_tech_for_vertical,reason
tinyseed,TinySeed,LMV,tech,False,Accelerator funding B2B SaaS / independent software businesses below and above $1M ARR; explicitly 'scale your software business'.
calm-company-fund,Calm Company Fund,Patient Capital,tech,False,"Funds 'profitable, sustainable, bootstrapper software businesses' (calm SaaS companies) via Shared Earnings Agreement."
earnest-capital,Earnest Capital,Patient Capital,tech,False,Targets 'bootstrapped software' founders seeking aligned capital; software is the core product.
indie-vc,Indie.vc,Patient Capital,mixed,False,Text says 'independent startups' pursuing profitability/optionality with no explicit software/tech signal; too thin to confirm tech.
lighter-capital,Lighter Capital,SMV,tech,False,Revenue-based financing for SaaS/recurring-revenue tech startups; 'the trusted leader in SaaS financing'.
capchase,Capchase,SMV,tech,False,Funds B2B SaaS with recurring revenue and enterprise software/hardware tech vendors; 'financing platform for the enterprise tech ecosystem'.
founderpath,Founderpath,SMV,tech,False,Non-dilutive capital to bootstrapped SaaS founders ($1-3M+ ARR software companies); revenue financing and term loans for SaaS.
pipe,Pipe,SMV,mixed,False,"Embedded capital funds the SMB end-customers of vertical SaaS/marketplaces/payment facilitators (any-sector small businesses), not the platforms themselves."
clearco,Clearco,SMV,mixed,False,"Funds DTC ecommerce brands AND SaaS businesses; ecommerce brands are physical-goods sellers, so genuinely both."
wayflyer,Wayflyer,SMV,traditional,False,Revenue-based financing for ecommerce/Amazon/wholesale consumer-brand businesses selling physical goods; no software/platform target.
uncapped,Uncapped,SMV,traditional,False,"Funds online businesses, Amazon sellers, and DTC physical-goods brands via cash advances and loans; no software-company target."
outfund,Outfund,SMV,traditional,False,Funds 'online businesses' / ecommerce companies (physical-goods sellers); no software/platform signal in text.
decathlon-capital-partners,Decathlon Capital Partners,SMV,mixed,False,Text only says 'growth companies / revenue-stage companies' with no sector or tech signal; too thin to call tech.
saas-capital,SaaS Capital,SMV,tech,False,Credit facility for scale-up B2B SaaS and subscription AI application companies with $3M+ ARR; pioneered SaaS lending.
novel-capital,Novel Capital,SMV,tech,False,Funds B2B software and recurring-revenue companies; software is the core product.
bigfoot-capital,Bigfoot Capital,SMV,tech,False,Funds SaaS and recurring-revenue software companies ('the solution to your dilution').
espresso-capital,Espresso Capital,SMV,tech,False,Funds technology and SaaS companies; tech is the explicit target sector.
timia-capital,TIMIA Capital,SMV,tech,False,Loans to growing B2B technology/software companies with $2M-$20M ARR and recurring revenue.
flow-capital,Flow Capital,SMV,tech,False,"Growth venture debt to capital-efficient growth-stage companies, 'primarily B2B SaaS and tech'."
braavo-capital,Braavo Capital,SMV,tech,False,"Funds mobile-first apps and games (subscription apps, games, utilities) — software products via app-store payouts and RBF."
stripe-capital,Stripe Capital,SMV,mixed,False,"Funds Stripe merchants — any small business processing payments through Stripe (all sectors), not specifically tech companies."
shopify-capital,Shopify Capital,SMV,traditional,False,"Funds Shopify merchants — ecommerce stores selling physical goods, repaid from store sales; not software companies."
paypal-working-capital,PayPal Working Capital,SMV,mixed,False,Merchant cash advances to any small business using PayPal across all sectors; no tech-company targeting.
youlend,YouLend,SMV,mixed,False,"Embedded RBF to SMEs across ecommerce/PSP/bank/broker partner platforms — generic small businesses of all kinds, not tech firms."
liberis,Liberis,SMV,mixed,False,"Embedded finance to SMBs via 40+ partner platforms across 15 markets — generic small businesses of all sectors, not tech companies."
parafin,Parafin,SMV,mixed,False,"Funds the small-business customers of vertical SaaS/marketplaces (DoorDash, Mindbody, Xplor) — restaurants/gyms/SMBs, not tech firms."
getvantage,GetVantage,SMV,mixed,False,'Growth capital & embedded financing for digital brands' but also embedded SMB financing; digital-brands scope is broad and partly physical-goods.
velocity,Velocity,SMV,mixed,False,"Funds D2C/ecommerce brands, SaaS, Edtech AND restaurants — explicitly mixes physical-goods/restaurant businesses with software."
klub,Klub,SMV,mixed,False,"Funds Indian consumer/digital brands ('RaiseOS for Founders'); consumer-brand focus is largely physical goods, text thin on software targeting."
sv8,SV8,LMV,mixed,False,Syndicate VC investing in early-stage startups with M&A-exit thesis; no sector/tech signal beyond generic 'startups'.
tangle-ventures,Tangle Ventures,Portfolio Capital,tech,False,Venture studio investing in 'profitable overlooked digital businesses' — digital-business focus indicates software/online products.
dwp-capital,DWP Capital,SMV,tech,False,Funds capital-efficient vertical software and tech-enabled services companies; software is the core target.
union-group-fund,Union Group Fund,SMV,tech,False,"'We develop and invest in small, bootstrapped vertical SaaS software companies' and solopreneurs."
tvc-capital,TVC Capital,SMV,tech,False,Growth equity for capital-efficient B2B software companies with $3M+ ARR ('Software Growth Equity').
d2-fund,D2 Fund,SMV,tech,False,Funds capital-efficient B2B software companies in UK & Europe ('funding capital-efficient software businesses').
seedtwo-capital,SeedTwo Capital,SMV,tech,False,Growth equity for founder-led vertical SaaS + AI companies with $2M+ ARR.
sequel-capital,Sequel Capital,SMV,tech,False,"Invests in bootstrapped, capital-efficient vertical Agentic B2B SaaS companies ($2-10M ARR)."
mainsail-partners,Mainsail Partners,SMV,tech,False,Growth equity for founder-led bootstrapped B2B software and AI-enabled companies.
serent-capital,Serent Capital,SMV,tech,False,Growth/private equity partnering with 70+ founder-led B2B software companies.
mamba-growth,Mamba Growth,SMV,tech,False,Funds bootstrapped/lightly-capitalized B2B technology companies; software/tech is the explicit target.
five-elms-capital,Five Elms Capital,SMV,tech,False,Invests in 'founder-owned B2B software companies'; growth equity into software — software is the core product.
elsewhere-partners,Elsewhere Partners,SMV,tech,False,'Lower Middle Market Software Private Equity'; funds bootstrapped software companies by ARR.
sunstone-partners,Sunstone Partners,SMV,tech,False,'AI- and technology-enabled services and software companies'; growth equity into software/tech-enabled services.
expedition-growth-capital,Expedition Growth Capital,SMV,tech,False,'Empowering bootstrapped software & AI founders'; growth capital into software & AI companies.
