entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes
stellation-capital,Stellation Capital,Patient Capital,Unknown Candidate,solo-GP nano fund,https://stellation.vc,active,public_web,Unknown,Unknown,Unknown,unknown,solo-GP nano fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,solo-GP nano fund,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
arcapita,Arcapita,Patient Capital,Unknown Candidate,Shariah-compliant alternative investment / private equity firm,https://arcapita.com/,active,public_web,Unknown,Unknown,Unknown,unknown,Shariah-compliant alternative investment / private equity firm,candidate supports industry mapping outside or adjacent to classic unicorn VC,Shariah-compliant alternative investment / private equity firm,62,candidate_evidence,2026-05-30,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
allegro-funds,Allegro Funds,Patient Capital,Unknown Candidate,Australia mid-market PE,https://www.allegrofunds.com.au/,active,public_web,Unknown,Unknown,Unknown,unknown,Australia mid-market PE,candidate supports industry mapping outside or adjacent to classic unicorn VC,Australia mid-market PE,62,candidate_evidence,2026-05-30,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
truebridge-capital-partners,TrueBridge Capital Partners,Patient Capital,Unknown Candidate,venture secondaries fund (LP stakes + late-stage companies),https://truebridgecapital.com/strategies/,active,public_web,Unknown,Unknown,Unknown,unknown,venture secondaries fund (LP stakes + late-stage companies),candidate supports industry mapping outside or adjacent to classic unicorn VC,venture secondaries fund (LP stakes + late-stage companies),62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
evok-innovations,Evok Innovations,Patient Capital,Unknown Candidate,"Canadian energy-transition / heavy-industry decarbonization VC (corporate-backed, Vancouver / Calgary energy heavyweights)",https://www.evokinnovations.com/,active,public_web,Unknown,Unknown,Unknown,unknown,"Canadian energy-transition / heavy-industry decarbonization VC (corporate-backed, Vancouver / Calgary energy heavyweights)",candidate supports industry mapping outside or adjacent to classic unicorn VC,"Canadian energy-transition / heavy-industry decarbonization VC (corporate-backed, Vancouver / Calgary energy heavyweights)",62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
squadra-ventures,Squadra Ventures,Patient Capital,Unknown Candidate,specialist_vc,https://www.squadra.vc,active,public_web,Unknown,Unknown,Unknown,unknown,specialist_vc,candidate supports industry mapping outside or adjacent to classic unicorn VC,specialist_vc,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
arctern-ventures,ArcTern Ventures,Patient Capital,Unknown Candidate,specialty venture fund,https://www.arcternventures.com/,active,public_web,Unknown,Unknown,Unknown,unknown,specialty venture fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,specialty venture fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
cornerstone-vc,Cornerstone VC,Patient Capital,Unknown Candidate,pre-seed and seed venture capital fund,https://www.cornerstonevc.co,active,public_web,Unknown,Unknown,Unknown,unknown,pre-seed and seed venture capital fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,pre-seed and seed venture capital fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
earthshot-ventures,Earthshot Ventures,Patient Capital,Unknown Candidate,specialty venture fund,https://earthshot.vc/,active,public_web,Unknown,Unknown,Unknown,unknown,specialty venture fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,specialty venture fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
piva-capital,Piva Capital,Patient Capital,Unknown Candidate,specialty venture fund,https://piva.vc/,active,public_web,Unknown,Unknown,Unknown,unknown,specialty venture fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,specialty venture fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
scottish-equity-partners,Scottish Equity Partners,Patient Capital,Unknown Candidate,growth equity investor,https://www.sep.co.uk,active,public_web,Unknown,Unknown,Unknown,unknown,growth equity investor,candidate supports industry mapping outside or adjacent to classic unicorn VC,growth equity investor,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
volta-energy-technologies,Volta Energy Technologies,Patient Capital,Unknown Candidate,specialty venture fund,https://volta.vc/,active,public_web,Unknown,Unknown,Unknown,unknown,specialty venture fund,candidate supports industry mapping outside or adjacent to classic unicorn VC,specialty venture fund,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
yfm-equity-partners,YFM Equity Partners,Patient Capital,Unknown Candidate,regional private equity / VCT manager,https://yfmep.com,active,public_web,Unknown,Unknown,Unknown,unknown,regional private equity / VCT manager,candidate supports industry mapping outside or adjacent to classic unicorn VC,regional private equity / VCT manager,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
american-family-ventures,American Family Ventures,Patient Capital,Unknown Candidate,insurance corporate venture capital,https://www.amfamventures.com/,active,public_web,Unknown,Unknown,Unknown,unknown,insurance corporate venture capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,insurance corporate venture capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
atlantica-ventures,Atlantica Ventures,Patient Capital,Unknown Candidate,Africa-focused early-stage tech VC,https://atlanticaventures.com/,active,public_web,Unknown,Unknown,Unknown,unknown,Africa-focused early-stage tech VC,candidate supports industry mapping outside or adjacent to classic unicorn VC,Africa-focused early-stage tech VC,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
crp-companhia-de-participacoes,CRP Companhia de Participacoes,Patient Capital,Unknown Candidate,regional_pe_vc,https://www.crp.com.br/en/,active,public_web,Unknown,Unknown,Unknown,unknown,regional_pe_vc,candidate supports industry mapping outside or adjacent to classic unicorn VC,regional_pe_vc,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
foxmont-capital-partners,Foxmont Capital Partners,Patient Capital,Unknown Candidate,Philippines-focused early-growth VC,https://foxmontcapital.com/,active,public_web,Unknown,Unknown,Unknown,unknown,Philippines-focused early-growth VC,candidate supports industry mapping outside or adjacent to classic unicorn VC,Philippines-focused early-growth VC,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
gentree-fund,Gentree Fund,Patient Capital,Unknown Candidate,Philippines family-office evergreen fund (Sy family / SM Group),https://www.gentree.asia/,active,public_web,Unknown,Unknown,Unknown,unknown,Philippines family-office evergreen fund (Sy family / SM Group),candidate supports industry mapping outside or adjacent to classic unicorn VC,Philippines family-office evergreen fund (Sy family / SM Group),62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
htwenty-capital-innovation,HTwenty Capital Innovation,Patient Capital,Unknown Candidate,cross_border_vc,https://htwenty.vc/,active,public_web,Unknown,Unknown,Unknown,unknown,cross_border_vc,candidate supports industry mapping outside or adjacent to classic unicorn VC,cross_border_vc,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
indogen-capital,Indogen Capital,Patient Capital,Unknown Candidate,Indonesia post-seed to Series A VC,https://indogencapital.com/,active,public_web,Unknown,Unknown,Unknown,unknown,Indonesia post-seed to Series A VC,candidate supports industry mapping outside or adjacent to classic unicorn VC,Indonesia post-seed to Series A VC,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
kayyak-ventures,Kayyak Ventures,Patient Capital,Unknown Candidate,purpose_driven_vc,https://www.kayyakventures.com/,active,public_web,Unknown,Unknown,Unknown,unknown,purpose_driven_vc,candidate supports industry mapping outside or adjacent to classic unicorn VC,purpose_driven_vc,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
knife-capital,Knife Capital,Patient Capital,Unknown Candidate,South Africa-based growth-equity VC for African tech,https://www.knifecap.com/,active,public_web,Unknown,Unknown,Unknown,unknown,South Africa-based growth-equity VC for African tech,candidate supports industry mapping outside or adjacent to classic unicorn VC,South Africa-based growth-equity VC for African tech,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
krungsri-finnovate,Krungsri Finnovate,Patient Capital,Unknown Candidate,Thailand corporate VC (Bank of Ayudhya / MUFG),https://www.krungsrifinnovate.com/en/home,active,public_web,Unknown,Unknown,Unknown,unknown,Thailand corporate VC (Bank of Ayudhya / MUFG),candidate supports industry mapping outside or adjacent to classic unicorn VC,Thailand corporate VC (Bank of Ayudhya / MUFG),62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
mdi-ventures,MDI Ventures,Patient Capital,Unknown Candidate,Indonesia corporate VC (Telkom Indonesia),https://mdi.vc/,active,public_web,Unknown,Unknown,Unknown,unknown,Indonesia corporate VC (Telkom Indonesia),candidate supports industry mapping outside or adjacent to classic unicorn VC,Indonesia corporate VC (Telkom Indonesia),62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
pfizer-ventures,Pfizer Ventures,Patient Capital,Unknown Candidate,corporate venture capital,https://www.pfizer.com/about/partners/venture-investments,active,public_web,Unknown,Unknown,Unknown,unknown,corporate venture capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,corporate venture capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
sanofi-ventures,Sanofi Ventures,Patient Capital,Unknown Candidate,pharma corporate venture capital,https://www.sanofiventures.com/,active,public_web,Unknown,Unknown,Unknown,unknown,pharma corporate venture capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,pharma corporate venture capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
singtel-innov8,Singtel Innov8,Patient Capital,Unknown Candidate,telco corporate venture capital,https://innov8.singtel.com/,active,public_web,Unknown,Unknown,Unknown,unknown,telco corporate venture capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,telco corporate venture capital,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.
