fund_id,name,structural_type,primary_asset_class,website,layer,admitted_via,not_outright_anti_unicorn,self_id_quote,evidence_url,status,notes
tinyseed,TinySeed,accelerator/fund,LMV,https://tinyseed.com/,funds_core,self_id,FALSE,"scale your software business without the headache of traditional fundraising, the risk of losing control, or the pressure to build a unicorn",https://tinyseed.com/,researched,Explicit anti-unicorn self-ID. Provisional class LMV (from existing atlas); deep classification deferred. Ethan-graph anchor.
calm-company-fund,Calm Company Fund,investment fund (SEAL),Patient Capital,https://calmfund.com/,funds_core,self_id,FALSE,an investment firm that backs companies that do not risk survival for growth,https://calmfund.com/,researched,Explicit anti-blitzscale self-ID. Provisional class Patient Capital. Uses the SEAL (Instruments layer). Ethan-graph anchor.
lighter-capital,Lighter Capital,revenue-based lender,SMV,https://lightercapital.com/,funds_core,self_id,FALSE,"Tired of getting stuck with VCs? Fund growth without wasting time, energy, or equity.",https://lightercapital.com/,researched,Explicit alternative-to-VC self-ID (non-dilutive/revenue-based). Provisional class SMV. Ethan-graph anchor.
indie-vc,Indie.vc,seed/early VC (alternative),Patient Capital,https://www.indie.vc/,funds_core,self_id,FALSE,"ZIRP-era playbooks of VC treadmills, pump and dump schemes, and growth at all costs have aged like milk.",https://www.indie.vc/facts,researched,Explicit anti-unicorn self-ID (Bryce Roberts; 'more A24 than a16z'; permissionless entrepreneurship). Provisional class Patient Capital. Ethan-graph anchor.
earnest-capital,Earnest Capital,investment fund (SEAL originator); rebranded to Calm Company Fund 2021,Patient Capital,https://calmfund.com/,funds_core,self_id,FALSE,betting on founders building solid businesses in niche markets with a focus on making more money than they spent,https://calmfund.com/writing/five-years,researched,Earnest Capital rebranded to Calm Company Fund (June 2021) - same entity/lineage; SEAL originator (Instruments layer). Quote from Calm 'Five Years In' essay (Earnest era). Original site earnestcapital.com (403). Provisional class Patient Capital. Ethan-graph anchor.
village-capital,Village Capital,accelerator/impact fund,Patient Capital,https://www.vilcap.com/,funds_core,provenance,TRUE,,https://www.vilcap.com/,needs_review,"Homepage is impact-focused (climate, economic mobility) with NO explicit anti-unicorn self-ID per the gate. Admitted by provenance (Ethan graph); FLAGGED not-outright-anti-unicorn. Provisional class Patient Capital."
gorilla-capital,Gorilla Capital,Nordic super-angel VC (Finland),Camel VC,https://gorillacapital.fi/,funds_core,self_id,FALSE,"We invest in camels — ambitious, resilient startups using technology to solve real business problems.",https://gorillacapital.fi/,researched,OPEN camel - explicit anti-unicorn self-ID ('camels instead of chasing unicorns'). Correct site is gorillacapital.fi (NOT gorilla.vc). Camel VC founding member; openly self-identifies (not disguised). Ethan exemplar/anchor.
kickstart,Kickstart,Mountain West seed fund,Camel VC,https://kickstart.com/,funds_core,behavioral,TRUE,,https://kickstart.com/,needs_review,"Homepage says 'Backing outliers early' / 'bold founders' = generic power-law-adjacent language, NOT anti-unicorn. Admitted via provenance (Ethan-vouched 'SMV in disguise') + regional behavioral signal; FLAGGED not-outright-anti-unicorn. Camel VC founding member."
5x-capital,5X Capital,VC fund - patient capital (LatAm B2B SaaS/AI),Patient Capital,https://fivexcapital.com/,funds_core,provenance,FALSE,,https://fivexcapital.com/,pending_quote,CORRECTION 2026-06-02: live fivexcapital.com is a maintenance/rebrand placeholder; the 'Compounding beats exits' line earlier came from a WebFetch summarizer and could NOT be verified verbatim on the live page (anti-hallucination - removed). Thesis corroborated via search only (LatAm permanent-capital; 'no forced exits'; 'unlike traditional VC'; acquires B2B SaaS). Verbatim self-ID pending site relaunch. Ethan-graph anchor.
indie-fund-i,Indie Fund I,connector node (indie-like funds),n/a,,connector,n/a,,,,connector,"Per user: color-matched to the Movements section in Ethan's graph - a connector showing the link between indie-like funds, NOT a discrete firm. Cross-layer linking deferred to Phase 5. Not sourced as a single fund."
microacquire,Microacquire,startup-acquisition marketplace,n/a (marketplace),https://acquire.com/,background,n/a,,,https://acquire.com/,background,"Marketplace, not an allocator. Verified anchor kept in the background layer (per locked decision). Now Acquire.com."
impro-ventures,Impro Ventures,emerging-market pre-seed/Series A VC,Reserved,https://impro.ventures/,funds_core,provenance,TRUE,,https://impro.ventures/,needs_review,"2026-06-06 Ethan-vouched (in-disguise group w/ Startup Ignition). Page: Africa/LATAM/SEA pre-seed-Series A, 'resistant sustainable businesses', 'category definer or global scalability'. No explicit anti-unicorn self-ID (a GP bio cites 'unicorn status'). Provenance admit; needs operator clarification on class + in-disguise status."
delta-fund,Delta Fund,impact fund (community-wealth / employee-ownership),Reserved,https://www.delta-fund.org/,related_impact,provenance,TRUE,,https://www.delta-fund.org/,needs_review,"2026-06-06 Ethan: 'impact fund, related to our work but not the focus; deserves a mention'. Page: 'Confronting a broken economic system', community-wealth, 100% employee-ownership, anti-market-rate-returns. Not tech-enabled; adjacent-movement mention."
orbit-ventures,Orbit Ventures,emerging/frontier-market accelerator-VC,Reserved,https://orbitventures.com/,related_impact,provenance,TRUE,,https://orbitventures.com/,needs_review,"2026-06-06 Ethan: 'impact fund, related but not the focus; mention'. Page: scales 'breakthrough technologies across emerging and frontier markets', $75M invested; growth+exit oriented ('profitable high growth', 'Eight exits'). Tech-enabled but not anti-unicorn on own page."
