asset_class,class_name,name,tier,sector_pending,target_economy,geography,self_id_quote_or_note,evidence_url
SMV,SMV Capital,Cornerstone Ventures,in_disguise,,tech,India,"Success here isn't about finding the one unicorn that returns the fund ten times over—it's about building a portfolio where 10-15 companies deliver solid 3-5x returns, with a handful achieving 10-15x outcomes.",https://www.cornerstoneventures.vc/pressblogs/049-venture-capital-investing-mindset-understanding-india-s-strategic-approach
SMV,SMV Capital,Pemba Capital Partners,in_disguise,,tech,Australia,"Instead of the unicorn, the camel is the more fitting mascot for what we look for.",https://pemba.com.au/hunt-camels-rather-than-unicorns/
Nimble,Nimble Capital,4D Ventures,in_disguise,,tech,Europe,"Besides vision, we are a great fit with founders with a bootstrap mentality (we are no fit for 'blitz-scalers'), low-burn yet ambitious.",https://www.4d.ventures/investment-thesis
Nimble,Nimble Capital,Bigfoot Capital,verified,,tech,,"We started Bigfoot in 2017 to push back against what we viewed to be an overly pervasive and often reckless format for building and capitalizing software businesses, that of growth at all costs and the associated hyperfunding to pursue it.",https://bigfootcap.com/
Nimble,Nimble Capital,BuenTrip Ventures,in_disguise,,mixed,LatAm,We seek founders who can achieve outsized results with limited capital by focusing on profitability and efficient scaling.,https://www.buentrip.vc/blog/navigatingventurecapital
Nimble,Nimble Capital,BuyBack Ventures,verified,,tech,US,"In traditional venture capital, you have to give up ownership as you grow. With Buyback Ventures, use your profits to buy back your equity and own more of your company as you grow.",https://buyback.vc/
Nimble,Nimble Capital,Calm Company Fund (formerly Earnest Capital),anchor,,mixed,US,an investment firm that backs companies that do not risk survival for growth,https://calmfund.com/
Nimble,Nimble Capital,Camel Ventures,in_disguise,,tech,Egypt fintech,"We believe in Camels (not only potential Unicorns) – the embodiment of the characteristics we look for, and nurture, in our partners - the startups.",https://www.camel.ventures/
Nimble,Nimble Capital,Capacity Capital,in_disguise,,tech,US Southeast,Revenue-based thesis ('invests in revenues instead of valuations'); homepage could not be verified — pending verbatim confirmation.,https://capacitycapital.co/
Nimble,Nimble Capital,D2 Fund,verified,,tech,UK/Europe,We prioritise sustainable compounding growth and will never push portfolio founders to raise capital to mark up our own books.,https://d2.fund/
Nimble,Nimble Capital,Golden Section,verified,,tech,Houston,"Founders who are building toward a meaningful strategic exit at $5-15M An. Rev., not an IPO at $500M An. Rev. - and understand why that's actually the better outcome.",https://www.goldensection.com/
Nimble,Nimble Capital,Gorilla Capital,anchor,,tech,Finland,"We invest in camels — ambitious, resilient startups using technology to solve real business problems.",https://gorillacapital.fi/
Nimble,Nimble Capital,HASAN.VC,verified,,tech,Southeast Asia / Islamic VC,HASAN.VC prioritizes the cultivation of Camel startups over the pursuit of speculative Unicorns.,https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/
Nimble,Nimble Capital,henQ,in_disguise,,tech,Europe,We are fine if you want to build a sustainable business without ever raising VC funding again.,https://www.henq.vc/
Nimble,Nimble Capital,Indie.vc,anchor,,tech,US,"ZIRP-era playbooks of VC treadmills, pump and dump schemes, and growth at all costs have aged like milk.",https://www.indie.vc/facts
Nimble,Nimble Capital,Iolar Ventures,verified,,tech,Silicon Valley; B2B cloud/mobile software,"the approach of mainstream venture, with an emphasis on outlier outcomes, rapid growth at all costs, high burn rates, and a large portfolio to mitigate high risk, may not always be the best choice for founders... we don't need to force companies to take excess capital in order to 'move the needle' on returns to our funds.",https://iolar.vc/
Nimble,Nimble Capital,Kickstart,provenance,,tech,US (Mountain West),Mountain West seed fund; vouched as an 'SMV in disguise' plus regional signal. Generic 'backing outliers early' site language; no explicit anti-unicorn self-ID.,https://kickstart.com/
Nimble,Nimble Capital,Lighter Capital,anchor,,tech,US,"Tired of getting stuck with VCs? Fund growth without wasting time, energy, or equity.",https://lightercapital.com/
Nimble,Nimble Capital,SaaSholic,in_disguise,,tech,,"Capital efficiency beats hyper-growth. Because in Latam, every dollar matters and competition is thinner. Lower CACs let distribution be won with limited burn; ROI beats growth at all costs.",https://blog.saasholic.com/p/doing-it-wrong-again-saasholics-next
Nimble,Nimble Capital,Startup Ignition Ventures,in_disguise,,tech,US / Utah,We back companies built to last — not just to raise the next round.,https://www.startupignition.com/ventures/
Nimble,Nimble Capital,STS Ventures,in_disguise,,mixed,DACH,"Sure, like most VCs, we welcome unicorn start-ups with hockey stick growth. But, we really love start-ups that achieve capital-efficient, sustainable growth.",https://sts-ventures.de/portfolio/
Nimble,Nimble Capital,TinySeed,anchor,,tech,US,"scale your software business without the headache of traditional fundraising, the risk of losing control, or the pressure to build a unicorn",https://tinyseed.com/
Nimble,Nimble Capital,UpsideDown VC,in_disguise,,mixed,UK,"Freedom to pursue either venture-scale growth or build a profitable smaller business, without pressure to fit a single mould.",https://www.upsidedown.vc/
Permanent,Permanent Capital,5X Capital,provenance,,tech,LatAm,LatAm patient-capital VC (B2B SaaS/AI); fivexcapital.com is a rebrand placeholder; verbatim self-ID pending relaunch (search-corroborated only).,https://fivexcapital.com/
Permanent,Permanent Capital,Alexandria Capital,verified,,tech,,"We do not sell our companies after acquisition, as we hold businesses permanently.",https://alexcapital.co/
Permanent,Permanent Capital,Banyan Software,verified,,tech,,We don't resell your business down the road.,https://www.banyansoftware.com/about
Permanent,Permanent Capital,Based,verified,,tech,,"A long-term holding company partnering with entrepreneurial leaders to build, acquire, and grow enduring companies.",https://www.basedinc.com/
Permanent,Permanent Capital,Big Band Software,verified,,tech,,"we buy and run companies without pressure to quickly extract or flip. In an industry addicted to quick wins, we chase enduring value.",https://www.bigbandsoftware.com/
Permanent,Permanent Capital,Bridges Evergreen Holdings,verified,,mixed,UK impact,"It is structured as a holding company rather than a fund so it can provide ongoing support over the long term, with no exit requirement.",https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/
Permanent,Permanent Capital,Calm Capital,verified,,mixed,,"Not in the ""hair on fire,"" ""growth at all costs,"" or ""buy and flip"" way, but the principled, patient, and persistent way... The Calm Capital way.",https://www.calmcapital.com/
Permanent,Permanent Capital,Concepts.io,verified,,mixed,US software/services/infra,We acquire with the intent to hold indefinitely. We are not building a portfolio to flip.,https://concepts.io/
Permanent,Permanent Capital,Croissant,verified,,tech,Benelux/France/DACH,"We buy, optimize, and hold. Forever... We're not here to flip.",https://croissant.today/
Permanent,Permanent Capital,Curious (Curious Holdings),verified,,tech,,"We're focused on legacy, resilience, and continuous reinvention, not raising additional funds or future exits.",https://www.curiousholdings.com/
Permanent,Permanent Capital,Define Capital,verified,,tech,,We buy and hold forever.,https://definecapital.ca/
Permanent,Permanent Capital,Enduring Ventures,verified,,mixed,,"We're different from most VC and PE firms in that we operate the businesses we own for sustainability, and not growth at all-costs.",https://www.enduring.ventures/about
Permanent,Permanent Capital,Everfield,verified,,tech,Europe,We don't want to disrupt your progress by selling your business at any point in the future.,https://everfield.com/
Permanent,Permanent Capital,Evergreen Financial Technology Group,verified,,tech,US/Canada,A Long-term home for great software businesses that serve financial institutions... Owner's Mindset: We acquire and build businesses with a long-term horizon.,https://evergreenftg.com/
Permanent,Permanent Capital,Evergreen Services Group,verified,,tech,,"As a permanent owner, we are a true home for the companies we partner with, preserving what has made each business great while accelerating long-term growth.",https://www.evergreensg.com/
Permanent,Permanent Capital,Evermore,verified,,tech,,We buy founder-led software companies and grow them forever.,https://evermore-ventures.com/
Permanent,Permanent Capital,Everroost,verified,,tech,,"We don't strip and flip - we invest, improve, and operate for the long term.",https://everroost.com/
Permanent,Permanent Capital,EviGrow Software,verified,,tech,,We never intend to sell a company once it has joined our group.,https://www.evigrowsoftware.com/about
Permanent,Permanent Capital,Exa Capital,verified,,tech,,"Without pressure to sell portfolio companies, we make decisions that build value over decades, not just quarters.",https://exacapital.co/our-private-equity-acquisition-approach/
Permanent,Permanent Capital,Flying Founders,verified,,tech,EU / Slovakia,"Hold long-term, focus on profitable growth and dividends, no pressure to raise or exit.",https://www.flyingfounders.com/
Permanent,Permanent Capital,GSG GENII,verified,,tech,Europe/DACH,"Unlike traditional private equity investors, we think long-term. We do not buy to sell on - and we do not build for the exit. Instead, we provide a permanent home for companies that want to grow sustainably.",https://gsg-genii.com/en/
Permanent,Permanent Capital,HEQS Investments,verified,,mixed,Australia,"We invest from our own balance sheet, not a fund with a five-year clock. There is no exit window and no pressure to flip.",https://www.heqs.com.au/investments
Permanent,Permanent Capital,Inversion Capital,verified,,mixed,,We raised permanent capital. No fund. No timeline. No mandate to sell. The only way we make money is if the business does well for a very long time.,https://www.inversioncap.com/
Permanent,Permanent Capital,Jonas Software,verified,,tech,,"At Jonas, we buy and hold forever. This is our ""Software for Life"" promise that we never sell the businesses we acquire.",https://jonassoftware.com/being-acquired
Permanent,Permanent Capital,Lasting Ventures Capital,verified,,mixed,Brazil,"Não buscamos venda futura. Nossa remuneração vem da distribuição de resultados da operação, junto aos fundadores e time, alinhando nossos interesses com o crescimento sustentável do seu negócio.",https://lastingventures.capital/
Permanent,Permanent Capital,Leo Software Group,verified,,tech,,Our mission is simple: to buy and operate software businesses that we want to own forever.,https://www.leosoftwaregroup.com/
Permanent,Permanent Capital,Long Tail Ventures,verified,,tech,US,"We acquire businesses to operate them, not to flip them. If an exceptional exit opportunity arises, we may pursue it — but exits are optional, not required.",https://ltv.so/
Permanent,Permanent Capital,Malpani Ventures,verified,,tech,India,"It means we don't have a forced exit clause in our term sheets. It means when we talk to a founder about the next five years, we're actually thinking about the next fifteen.",https://www.malpaniventures.com/blog/a-quiet-reorientation
Permanent,Permanent Capital,Micro SaaS Capital,verified,,tech,Toronto,"We build for the long-term with permanent capital - our holding period is forever (we do not ""flip"").",https://microsaascapital.com/
Permanent,Permanent Capital,Mosaic Software Group,verified,,tech,US/Canada,"Our buy-and-hold philosophy, underpinned by our permanent capital base, ensures that we act in the long-term best interests for the team, customers, and company itself.",https://www.mosaicsoftwaregroup.com/
Permanent,Permanent Capital,Permanent Corp,verified,,mixed,US,"Permanent Corporation acquire profitable, niche B2B businesses and never sells.",https://permanentcorp.com/
Permanent,Permanent Capital,Permanent Equity,verified,,mixed,,We invest with no intention of selling (and have never sold a portfolio company).,https://www.permanentequity.com/
Permanent,Permanent Capital,Purpose Evergreen Capital,verified,,mixed,,Purpose Evergreen Capital is an evergreen investment fund without pressure to force an exit.,https://purpose-economy.org/en/pec/
Permanent,Permanent Capital,Purpose Ventures,verified,,mixed,,"Our terms allow companies to stay independent, provide investors liquidity without a sale or exit, and build impactful companies.",https://purpose-economy.org/en/investment/
Permanent,Permanent Capital,Quadra Group,verified,,tech,,"Quadra Group is a permanent capital holding company, primarily focused on the acquisition and scaling of specialized vertical market software (VMS), and digital service companies in continental Europe.",https://www.quadragroup.co.uk/
Permanent,Permanent Capital,Rainmatter (by Zerodha),verified,,tech,India,Patient capital with no exit mandates that founders can benefit from when building an enterprise.,https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments
Permanent,Permanent Capital,Shop Circle,verified,,tech,"AI-native, EU/NA","Our role is to provide a permanent home where your company can continue to thrive... No pressure to exit, just durable growth.",https://shopcircle.co/
Permanent,Permanent Capital,Sidenote,verified,,tech,,"We buy, build, and grow, micro SaaS businesses to hold and love forever.",https://sidenotehq.com/
