fund,group,asset_class_or_strategy,hq_country,sector_focus,capital_deployed_or_aum,n_portfolio_sampled,n_broad_esop,n_profit_share,n_none_standard,n_unknown,broad_participation_rate,n_with_headcount,total_known_headcount,data_confidence,verified_keep,fund_source_url
Mainsail Partners,atlas,"SMV (Strategic Middle Ventures) — growth equity for founder-led, bootstrapped, capital-efficient B2B software companies. Equity investments of ~$10M–$75M (minority, majority, or flexible). Confirmed SMV/in_disguise in the atlas (data/evidence/funds_verified.csv).","United States (offices in Austin, TX and San Francisco, CA)","B2B software / vertical SaaS (and AI-enabled software). Heavy concentration in vertical business-management software for sectors such as field services, property management, compliance, home services, healthcare practice management, and construction.","~$4 billion total committed capital raised over 22+ years; most recent flagship fund (Mainsail Partners VII, L.P.) closed at its $1.535 billion hard cap in 2025 — the largest in firm history. Equity investments per company typically range $10M–$75M; 100+ companies backed.",8,0,0,0,8,0.0,5,744,"Firm-level facts (group, strategy, HQ, sector focus, AUM/fund size): HIGH — corroborated by the firm's own site and a dated fund-close press release. Portfolio sample membership: HIGH (from Mainsail's own portfolio page). Per-company headcount: MEDIUM — third-party aggregators only, figures vary by source and date. Employee participation (the central focus question): LOW coverage / effectively NOT PUBLIC — no disclosed ESOP or broad-ownership program found for any sampled company; ""unknown / not public"" is the honest, sourced result, not a gap to be filled by inference.",True,https://mainsailpartners.com/
Banyan Software,atlas,"Permanent Capital — buy-and-hold-for-life serial acquirer of vertical market software (permanent-capital holdco / VMS roll-up). PE-backed permanent equity, not a fixed-life fund.","Canada (headquartered in Toronto; also offices across North America, Europe, and Asia-Pacific)","Mission-critical enterprise / vertical-market software (B2B SaaS and on-prem) with dominant positions in niche verticals — e.g. healthcare IT, ERP, procurement/sourcing, print/media, HR, IoT/telematics.","~US$2.58B total committed capital raised (per PitchBook/aggregators); backers include Norwest, Ares Management, Pacific Lake, Rock Creek Capital, and Saltoun Capital Partners. Banyan reports 100+ software companies acquired with zero divested. Exact AUM not officially disclosed by the firm.",5,0,0,2,3,0.0,1,32,"MEDIUM overall. HIGH confidence on firm-level facts (Toronto HQ, founded 2016 by David Berkal, permanent-capital buy-and-hold VMS strategy, PE backers, 100+ companies acquired) — all corroborated by Banyan's own site plus PitchBook/Tracxn/Mergr. MEDIUM-LOW on the ~$2.58B capital figure (from aggregators/PitchBook, not officially confirmed by Banyan as 'AUM'). MEDIUM-LOW on portfolio specifics: company names and acquisition facts are well-sourced, but current headcounts are largely NOT public (only Atamis has a figure, and it is dated 2020/pre-acquisition). KEY FINDING — employee participation: There is NO public evidence of ESOPs or broad-based employee ownership at any Banyan portfolio company; Banyan is PE-backed and acquires companies as wholly-owned subsidiaries (HIGH confidence on absence of evidence; the $100M Banyan Software Foundation stock pledge is charitable, not employee, ownership). All numeric/factual claims are sourced to real URLs found via web search; no figures were estimated or invented — unverifiable values are marked 'not public' / 'unknown'.",True,https://banyansoftware.com/about/
Lighter Capital,atlas,Nimble / revenue-based financing (non-dilutive growth capital / term loans / lines of credit) for tech and SaaS startups. Atlas class: Nimble (anchor); also tagged SMV in some atlas rows.,"United States (Seattle, Washington)","Early- and growth-stage technology companies, primarily SaaS / recurring-revenue software (also term loans and lines of credit; operates in US, Canada, Australia)","$550M+ deployed across 660+ companies (per company About page, as of 2026). Historical waypoints: $200M+/350+ companies (2020, Wikipedia); $130M credit facility raised Aug 2023 (TechCrunch). No public AUM figure disclosed.",5,0,0,1,4,0.0,4,956,"medium - Fund profile (HQ, founding, capital deployed, RBF strategy, named sample portfolio) is HIGH confidence from official site + Wikipedia + TechCrunch. Per-company data is LOWER confidence: headcounts come from third-party aggregators (ranges, varying dates) and employee-participation could not be positively confirmed for any company (no ESOP/broad-ownership disclosures found, so most are 'unknown/not public'). No data was estimated or invented; unverifiable values marked unknown/not public.",True,https://www.lightercapital.com/about
Sacramento Labs,atlas,"Venture/company-builder studio (owner-operator). Self-described evergreen software company that builds and owns its own products in-house (""We build the products ourselves—from scratch—doing the design, engineering, go-to-market, and ongoing operations internally""). Explicitly rejects the VC/exit model (""We're not optimizing for exits. We're not chasing unicorn status. We're building to own and operate for decades""). Note: the firm rejects the ""venture studio"" label itself, but functions as a build-and-own studio. Counts as an allocator under the project's ratified rule (build-their-own studios deploy their own capital to create + own companies).",United States,"Niche / underserved B2B software. Targets ""painful, underserved problems—big enough to support a $15M–$50M/year product, but too small or too unsexy for venture capital."" Concrete domains across owned products: IT/MSP device monitoring, SaaS anti-fraud, public-sector/compliance mailing, and agtech (waterfowl tracking, avian-influenza early warning for poultry farms).","Not public. No disclosed fund, AUM, or LP capital. Self-funded / bootstrapped evergreen operator that owns and operates products rather than raising and deploying a managed fund. Co-founders Ian Becker Alexander and Garrett Milster previously built Syncro (MSP platform) before launching Sacramento Labs.",5,0,0,0,5,0.0,0,0,"medium-low — Identity, evergreen build-and-own business model, philosophy, and the owned-product roster are well-sourced from the firm's own website (sacramentolabs.com). However, headcounts and any employee-ownership/ESOP/profit-sharing data are NOT publicly disclosed for Sacramento Labs or any of its product lines, and are reported as ""not public"" rather than estimated. The portfolio is a documented SAMPLE of owned products, not an exhaustive or independently audited list. Crunchbase (Watchman Monitoring) returned HTTP 403 and could not be read.",True,https://sacramentolabs.com/our-philosophy/
Bridges Evergreen Holdings,atlas,Patient / Permanent Capital — impact-driven evergreen holding company (no exit requirement; yields returns via dividends and loan interest rather than fund-style exits). Catalogued in the atlas under Permanent/Patient Capital; reclassified 2026-06-17 to Impact Capital (impact/steward).,United Kingdom,"Impact / mission-led UK businesses solving social and environmental challenges — concentrated in social care (elderly residential/nursing care, children's residential care, domiciliary care), affordable housing, energy efficiency / fuel poverty, and skills training.","Permanent capital vehicle that had raised just over £50m by mid-2018 (""topped £50m""); launched Dec 2016 with ~£23m initial commitments. Sits within parent Bridges Fund Management, which announced a combined £155m raise for impact-driven businesses in 2019. Evergreen is structured as a holding company, not a fund, so it has no fixed fund size / formal AUM in the conventional sense.",5,1,0,0,4,0.2,4,102422,med,True,https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/
Teamshares,worker-ownership,"Permanent-capital small-business acquirer / employee-ownership platform. Buys profitable small businesses (~$0.5-5M EBITDA, often 30+ year operating history) from retiring owners, installs new leadership, and progressively transitions them to broad employee ownership: employees receive ~10% of stock at acquisition, growing toward ~80% employee ownership over ~20 years as free cash flow buys out Teamshares' stake. Functionally a holdco / serial acquirer (Portfolio Capital) with an employee-ownership thesis. Note: Teamshares the platform is itself venture-capital + debt funded; the broad employee ownership applies to the acquired portfolio companies, not Teamshares' own cap table.",United States,"Diversified main-street small businesses across 40+ industries: retail, printing/mailing, food service, professional/consumer services, skilled trades (plumbing), notary/title services, costume/theatrical, bakery, auto aftersales, etc.","~$245M venture equity raised (incl. $124M Series D led by QED Investors) plus ~$225M debt financing (e.g., $150M facility with i80 Group, $75M with Sound Point Capital) = ~$351-470M total capital across rounds used to fund acquisitions. Not a traditional fund AUM; capital is deployed to acquire businesses directly. As of late 2025 / early 2026: ~90 operating subsidiaries across 40+ industries; an anticipated Nasdaq listing via SPAC (LiveOak Acquisition V) was disclosed.",6,6,0,0,0,1.0,2,158,"Medium-high overall. HIGH confidence on the employee-ownership model and aggregate figures (10%->~80% over 20 years; ~90 companies; ~2,500 employee owners; HQ New York; funding) - these are documented in PRNewswire, TechCrunch, and company sources. MEDIUM-to-LOW confidence on per-company headcounts: only Patina (155) is confirmed from a journalistic source displaying the number; other named companies' headcounts were either unverifiable or came from aggregators with implausible values, so they are marked unknown/not public rather than guessed. The employee_participation classification is HIGH confidence and uniform across the portfolio because broad employee ownership is the core design of every Teamshares acquisition (NOT an ESOP/ERISA trust - direct share grants vesting over ~4 years).",True,https://www.teamshares.com/
Apis & Heritage Legacy Fund (Legacy Fund I; Legacy Fund II),worker-ownership,"Employee-led buyout (ELBO) fund / impact private credit. Provides mezzanine debt and financing to convert privately held companies into 100% employee-owned S-Corp ESOPs, so the seller receives ~90% of enterprise value on day one (vs. large seller's notes in a traditional ESOP). Explicitly an employee-ownership / worker-ownership transition strategy, not classic dilutive VC.","United States (Washington, DC)","Lower-middle-market essential-services / blue-collar businesses with large workforces of color and low-to-moderate-income workers (e.g., janitorial/facilities maintenance, landscaping, plumbing/underground infrastructure, utility construction, nursery/horticulture). Legacy Fund II targets companies with EBITDA of ~$3M–$10M.","Legacy Fund I: $40M+ deployed across 6 portfolio companies since 2021. Legacy Fund II: exceeded its $250M target (closed above $250M), aiming to create ~3,000 worker-owners over five years.",5,5,0,0,0,1.0,5,1405,"High for firm strategy, HQ, fund size, and the employee-ownership/ESOP classification of every portfolio company (all 100% employee-owned via ELBO — primary press releases and ImpactAlpha reporting). Medium-high for individual headcounts: figures are approximate (""approximately""/""over"") as stated in announcements and are point-in-time. Portfolio list is a confirmed sample (some Legacy Fund I companies are not publicly named).",True,https://impactalpha.com/impact-first-lps-power-apis-heritage-employee-ownership-fund-past-250-million-target/
Mosaic Capital Partners (Mosaic Capital Investors I LP; Fund II),worker-ownership,"Employee-ownership-focused private equity / buyout. Acquires lower-middle-market companies and converts them to employee ownership via leveraged ESOP buyouts (full/partial ESOPs, ESOP recapitalizations); Fund II broadened to also consider Employee Ownership Trusts (EOTs) and majority-control investments. SBIC-licensed fund.","United States (Charlotte, NC — 101 S. Tryon Street, Suite 2555)","Business services, niche manufacturing, consumer products, food & beverage, healthcare, industrials, technology/IT services, value-add distribution. Targets North America-based companies with ~$10M-$100M revenue and ~$5M-$15M EBITDA; invests ~$10M-$25M per deal (more with LP co-investment).",~$370 million total AUM across two funds; Fund II closed Nov 2025 at $205 million of total capital (including leverage). 17 platform companies invested since 2014 founding.,15,15,0,0,0,1.0,1,350,"High for firm-level facts (identity, HQ, strategy, AUM, fund sizes) and for employee_participation classification (every platform is an ESOP/EOT buyout by thesis — the firm's defining feature, confirmed by primary-source deal PRs). MIXED/LOW for per-company headcount: these are private lower-middle-market firms and several disclose no verified employee count, marked ""not public"" rather than estimated. Portfolio list is a documented sample from Mosaic's own portfolio page, not exhaustive.",True,https://www.mosaic-cp.com/about-us/
Bessemer Venture Partners,vc,"Classic unicorn venture capital (UVC baseline). Multi-stage VC plus growth and, since BVP Forge, private equity/buyout. Heavy cloud/SaaS and enterprise software focus, with consumer and healthcare.",United States,"Cloud / SaaS and enterprise software (vertical and horizontal), plus consumer and healthcare growth companies. Strong cloud thesis (publisher of the Cloud 100 and Bessemer Cloud Index).","~$19-20 billion AUM. Wikipedia states ""US$ 20 billion (2022)""; 2024-2025 third-party profiles commonly cite ~$19 billion. Exact single authoritative quoted figure not locked to one durable primary URL in this run.",10,0,0,0,10,0.0,8,90,"medium-low — Firm-level identity, HQ, strategy, sector focus, and the existence of the listed portfolio companies were verified on fetched pages (Wikipedia, bvp.com, bvp.com/companies). However, the two FOCUS questions (per-company headcount and employee-participation structure) were NOT verified against primary sources (10-Ks / IR pages) before the run was stopped for cost. Per the anti-hallucination rule, headcount and participation are reported as ""unknown/not public"" rather than estimated. AUM range (~$19-20B) is corroborated by multiple sources but not pinned to a single primary filing. This profile is firm-level-solid but portfolio-row-thin; the per-company financial/headcount/ESOP detail requires a follow-up pass fetching each company's SEC 10-K.",True,https://en.wikipedia.org/wiki/Bessemer_Venture_Partners
Insight Partners,vc,Growth equity / late-stage venture capital and private equity (ScaleUp-stage software). Not a classic early-stage unicorn-seed shop; predominantly growth-stage and buyout-adjacent software investing.,"United States (New York City; additional offices in London, Tel Aviv, Palo Alto)","Software, internet, B2B SaaS, cybersecurity, AI/data, fintech and other high-growth technology","Over $90 billion in regulatory assets under management (as of June 30, 2025); 875+ companies invested in since 1995. Raised ~$12.5B across its 13th flagship fund + a structured-equity vehicle (announced Jan 2025).",9,0,0,5,4,0.0,6,19288,"medium — Firm-level facts (HQ, AUM ~$90B, strategy, sector) are high confidence (Wikipedia + multiple sources tracing to Insight disclosures). Public-company headcounts are high confidence (10-K/20-F figures via SEC filings and stockanalysis/macrotrends summaries). employee_participation is a JUDGMENT classification for public names (no per-company verbatim quote was verified at a specific URL) and is ""unknown/not public"" for private holdings. No ESOP trust or broad employee ownership was found at any company; all use standard concentrated VC-style option/RSU pools (plus ESPPs at public firms).",True,https://en.wikipedia.org/wiki/Insight_Partners
