entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes
tinyseed,TinySeed,LMV,Instrument;LMV,accelerator/fund,https://tinyseed.com/,active,public_web,United States,B2B SaaS,revenue-based / bootstrapped SaaS capital,revenue_share,B2B SaaS founders seeking growth without classic VC pressure,candidate supports industry mapping outside or adjacent to classic unicorn VC,accelerator and capital provider,93,verified_fact,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
calm-company-fund,Calm Company Fund,Patient Capital,Instrument;Camel Modifier,capital provider,https://calmfund.com/,active,public_web,United States,calm companies / SaaS,shared earnings / founder-friendly capital,shared_earnings,founders building durable companies without hypergrowth pressure,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider and instrument pioneer,91,candidate_evidence,2026-05-22,"Atlas seed row; verify source text before using as paper-ready evidence. | [A+ 2026-06-01 FLAG] suggested=blank; Self-description aligns with Patient Capital — long-term, profit-aligned shared-earnings instrument for sustainable bootstrapped businesses; explicitly rejects growth-or-die VC model."
earnest-capital,Earnest Capital,Patient Capital,Instrument;Camel Modifier,historical fund,https://earnestcapital.com/,historical,public_web,United States,bootstrapped software,shared earnings agreement,shared_earnings,bootstrapped founders seeking aligned capital,candidate supports industry mapping outside or adjacent to classic unicorn VC,historical capital experiment,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence. | [A+ 2026-06-01 FLAG] suggested=blank; thin_page_insufficient_evidence [needs_review 2026-06-01: official page unfetchable (403/500/JS); tech retained on 3rd-party evidence]
lighter-capital,Lighter Capital,SMV,Instrument,capital provider,https://www.lightercapital.com/,active,public_web,United States,SaaS / tech,revenue-based financing,revenue_based_financing,revenue-stage technology companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,88,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
capchase,Capchase,SMV,Instrument,capital platform,https://www.capchase.com/,active,public_web,United States / Europe,B2B SaaS,non-dilutive SaaS financing / payment terms,contract_financing;non_dilutive_capital,B2B SaaS companies with recurring revenue,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital platform,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
founderpath,Founderpath,SMV,Instrument,capital provider,https://founderpath.com/,active,public_web,United States,B2B SaaS,non-dilutive SaaS capital,non_dilutive_capital,bootstrapped and revenue-stage SaaS founders,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,87,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
saas-capital,SaaS Capital,SMV,Instrument,capital provider,https://www.saas-capital.com/,active,public_web,United States,B2B SaaS,growth debt for SaaS,growth_debt,B2B SaaS companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
novel-capital,Novel Capital,SMV,Instrument,capital provider,https://www.novelcapital.com/,active,public_web,United States,B2B software,revenue-based and non-dilutive capital,revenue_based_financing,B2B software and recurring revenue companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,79,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
bigfoot-capital,Bigfoot Capital,SMV,Instrument,capital provider,https://bigfootcap.com/,active,public_web,United States,B2B SaaS,growth debt / revenue-based capital,growth_debt,SaaS and recurring-revenue companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,76,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
espresso-capital,Espresso Capital,SMV,Instrument,capital provider,https://www.espressocapital.com/,active,public_web,Canada / United States,technology companies,venture debt / growth capital,venture_debt,technology and SaaS companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,75,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence. [needs_review 2026-06-01: official page unfetchable (403/500/JS); tech retained on 3rd-party evidence]
timia-capital,TIMIA Capital,SMV,Instrument,capital provider,https://timiacapital.com/,active,public_web,Canada,SaaS,revenue-based financing,revenue_based_financing,software companies with recurring revenue,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,76,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
flow-capital,Flow Capital,SMV,Instrument,capital provider,https://flowcap.com/,active,public_web,Canada / United States,technology companies,revenue-linked growth capital,revenue_based_financing;venture_debt,growth-stage technology companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,75,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
braavo-capital,Braavo Capital,SMV,Instrument,capital provider,https://www.getbraavo.com/,active,public_web,United States,mobile apps / games,non-dilutive app financing,non_dilutive_capital,mobile app and game businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider,74,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
tangle-ventures,Tangle Ventures,Venture Studio,Patient Capital;Portfolio Capital,venture studio/acquirer,https://tangleventures.io/,active,public_web,United States,profitable digital businesses,acquire and compound overlooked businesses,permanent_equity,profitable overlooked digital businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV acquirer and operator,90,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
dwp-capital,DWP Capital,SMV,Patient Capital;Portfolio Capital,growth equity firm,https://dwpcapital.com/,active,public_web,United States,vertical software / tech-enabled services,early-stage growth equity with flexible hold periods,growth_equity;patient_capital,capital-efficient vertical software and tech-enabled services companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV capital provider,88,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence. [needs_review 2026-06-01: official page unfetchable (403/500/JS); tech retained on 3rd-party evidence]
union-group-fund,Union Group Fund,SMV,Patient Capital;Camel Modifier,development and investment firm,https://www.uniongroupfund.com/,active,public_web,United States,vertical SaaS,development and growth partnerships for small bootstrapped vertical SaaS,growth_equity;patient_capital,small bootstrapped vertical SaaS companies and solopreneurs,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV capital provider,87,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
tvc-capital,TVC Capital,SMV,Portfolio Capital,software growth equity firm,https://tvccapital.com/fund-focus/,active,public_web,United States,B2B software,software growth equity for capital-efficient companies,growth_equity;recapitalization,B2B software companies between classic VC and large growth equity focus,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
d2-fund,D2 Fund,SMV,Patient Capital;Camel Modifier,venture fund,https://www.d2.fund/,active,public_web,United Kingdom / Europe,B2B software,capital for efficient software businesses,equity;secondary;debt_support,capital-efficient B2B software businesses in the UK and Europe,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV capital provider,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
seedtwo-capital,SeedTwo Capital,SMV,LMV;Portfolio Capital,growth fund,https://www.seedtwo.com/,active,public_web,United States,vertical SaaS / AI,funding for vertical SaaS and AI companies between seed and Series A,growth_equity;equity,founder-led vertical SaaS and AI companies with traction,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV capital provider,82,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
sequel-capital,Sequel Capital,SMV,Portfolio Capital,growth equity investor,https://www.sequel-capital.com/,active,public_web,United Kingdom / Europe,agentic B2B SaaS,exit-focused growth equity for bootstrapped capital-efficient B2B SaaS,growth_equity;strategic_exit,bootstrapped and capital-efficient B2B SaaS companies with clear exit paths,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV capital provider,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
mainsail-partners,Mainsail Partners,SMV,Portfolio Capital,growth equity firm,https://mainsailpartners.com/,active,public_web,United States,B2B software / AI-enabled software,growth equity for bootstrapped B2B software companies,growth_equity;founder_liquidity,founder-led bootstrapped B2B software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
serent-capital,Serent Capital,SMV,Portfolio Capital,growth equity firm,https://serentcapital.com/why-serent/,active,public_web,United States,B2B software,growth equity and operating support for founder-led bootstrapped software,growth_equity;operating_support,founder-led and bootstrapped B2B software companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,86,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
mamba-growth,Mamba Growth,SMV,Portfolio Capital,growth equity firm,https://www.mambagrowth.com/investment-criteria/,active,public_web,United States,B2B software / technology,minority growth equity for capital-efficient founder-led software companies,growth_equity;minority_equity,bootstrapped or lightly capitalized B2B technology companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,SMV growth equity provider,83,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.
