entity_id,name,website,assigned_verdict,page_type,self_described_class,class_match,note,final_status
tinyseed,TinySeed,https://tinyseed.com/,genuine_misclassified,allocator,LMV,False,"Homepage describes a B2B SaaS accelerator and fund ('TinySeed Has Raised Its Fourth Early-Stage SaaS Fund, Totaling Over $16M') giving founders 'the perfect amount of funding' as founder-friendly equi",genuine_flag_reclassify
calm-company-fund,Calm Company Fund,https://calmfund.com/,genuine_correct,allocator,Patient Capital,True,"Self-describes as investing 'early in profitable businesses that want to maximize their chances of success and build for the long-term' via a Shared Earnings Agreement, an evergreen/long-hold patient-",genuine_correct
earnest-capital,Earnest Capital,https://earnestcapital.com/,unverifiable,other,none,False,"Homepage returned HTTP 403 Forbidden, so the page could not be read and the entity cannot be judged from its own site.",unverifiable_keep_flag
indie-vc,Indie.vc,https://www.indie.vc/,unverifiable,other,none,False,"Fetched page exposed only navigation links (Facts, Vibes, Mailing List, Contact) with no descriptive body text, so the JS-only/thin page yields no basis to verify what they are.",unverifiable_keep_flag
lighter-capital,Lighter Capital,https://www.lightercapital.com/,genuine_correct,allocator,SMV,True,"Self-describes as deploying its own capital as non-dilutive debt/revenue-based financing ('Get up to $10M in founder-friendly financing... No equity, board seats, or personal guarantees'), a textbook ",genuine_correct
capchase,Capchase,https://www.capchase.com/,genuine_misclassified,allocator,none,False,"Page states 'Capchase lends to buyers directly, pays vendors and channel partners out upfront' as 'the only platform that's both the lender and the technology', so it bears its own capital but as B2B ",genuine_flag_reclassify
founderpath,Founderpath,https://founderpath.com/,genuine_correct,allocator,SMV,True,"Self-describes deploying its own/raised capital via 'revenue-based financing, term loans, and lines of credit' that is 'non-dilutive' ('deployed $271M to founders'), matching SMV non-dilutive growth c",genuine_correct
pipe,Pipe,https://pipe.com/,junk_not_allocator,product_or_saas,none,False,Now self-describes as 'the embedded financial OS powering businesses on your platform' — software infrastructure that lets OTHER platforms offer embedded financing rather than an entity deploying its ,rescued_allocator->SMV
clearco,Clearco,https://clear.co/,genuine_correct,allocator,SMV,True,"Self-describes as a non-dilutive 'capital partner' providing revenue-based 'Flexible capital, built around how you grow' to DTC/SaaS brands ('$3B' invested across '10,000+ brands'), matching SMV.",genuine_correct
wayflyer,Wayflyer,https://wayflyer.com/,genuine_correct,allocator,SMV,True,"Self-describes as providing revenue-based financing of '$5K-$20M' where 'We don't ask for personal guarantees or take equity in your business', a non-dilutive ecommerce capital provider matching SMV.",genuine_correct
uncapped,Uncapped,https://www.weareuncapped.com/,unverifiable,allocator,none,False,"Homepage returned HTTP 403 Forbidden, so the page could not be read and the entity cannot be judged from its own site.",unverifiable_keep_flag
outfund,Outfund,https://www.out.fund/,genuine_correct,allocator,SMV,True,"Self-describes as a lender (regulatory note 'MTL Financial LTD, which is a Lender') offering revenue-based financing and fixed-repayment funding of £25k-£10M, matching SMV non-dilutive growth capital.",genuine_correct
decathlon-capital-partners,Decathlon Capital Partners,https://decathloncapital.com/,genuine_correct,allocator,SMV,True,"Homepage describes a 'Growth-Lending Firm' providing 'non-dilutive growth capital' / revenue-based financing to $4M-$100M revenue companies without dilution or loss of control, squarely SMV.",genuine_correct
saas-capital,SaaS Capital,https://www.saas-capital.com/,genuine_correct,allocator,SMV,True,"Page offers 'non-dilutive capital' via an MRR line-of-credit for SaaS scale-ups ($3M+ ARR), a recurring-revenue-based lender deploying its own credit — SMV is defensible.",genuine_correct
novel-capital,Novel Capital,https://www.novelcapital.com/,unverifiable,other,none,False,"WebFetch returned no content on both novelcapital.com and the root domain (JS-rendered SPA), so the page could not be judged.",unverifiable_keep_flag
bigfoot-capital,Bigfoot Capital,https://bigfootcap.com/,genuine_correct,allocator,SMV,True,"Thin homepage but the distinctive tagline 'The Solution to Your Dilution' affirms non-dilutive growth financing, consistent with SMV (page is sparse, only tagline rendered).",genuine_correct
espresso-capital,Espresso Capital,https://www.espressocapital.com/,unverifiable,other,none,False,"WebFetch returned empty content on both espressocapital.com and its /about page (JS-rendered), so the page itself could not be evaluated.",unverifiable_keep_flag
timia-capital,TIMIA Capital,https://timiacapital.com/,genuine_correct,allocator,SMV,True,"Page states 'We provide debt capital to B2B technology companies with between $2 million and $20 million in ARR' as a non-dilutive VC alternative — recurring-revenue growth debt, SMV fits.",genuine_correct
flow-capital,Flow Capital,https://flowcap.com/,genuine_correct,allocator,SMV,True,"Homepage offers 'Founder-friendly growth capital' (venture debt with minimal warrants) that is 'More flexible than bank debt, less expensive than venture capital' for $3M+ revenue firms — SMV is defen",genuine_correct
corl,Corl,https://corl.io/,unverifiable,other,none,False,"corl.io 301-redirects to npkn.com ('Napkin Global'), an unrelated M&A roll-up acquirer; the original Corl revenue-share lender is no longer present at this domain so it cannot be verified.",removed_non_entity
braavo-capital,Braavo Capital,https://www.getbraavo.com/,genuine_misclassified,allocator,SMV,False,"Page describes revenue-based financing, App Store payout advances, and $2-5M structured credit lines for mobile apps ('accelerate growth without equity dilution') — that is non-dilutive growth capital",genuine_flag_reclassify
vitt,Vitt,https://www.vitt.com/,unverifiable,other,none,False,"vitt.com now serves a domain-for-sale parking page ('This domain is still available for sale! Grab It Before It's Gone!'); the SaaS revenue-financing entity is no longer live, so it cannot be verified",removed_non_entity
levenue,Levenue,https://www.levenue.com/,junk_not_allocator,marketplace_or_broker,none,False,Homepage describes a 'marketplace platform connecting companies with investors' where third-party 'investors bid in a Dutch Auction' for revenue contracts — it matches buyers and sellers rather than d,confirmed_ecosystem_nonallocator
arc,Arc,https://www.arc.tech/,junk_not_allocator,product_or_saas,none,False,"Page positions Arc as 'Intelligent cash management for technology companies' — a treasury/software platform to 'manage cash, unlock yield, raise debt capital, access AI financial services,' aggregatin",confirmed_ecosystem_nonallocator
stripe-capital,Stripe Capital,https://stripe.com/capital,genuine_correct,allocator,SMV,True,"Page offers direct business financing with sales-based automated repayment ('get a business loan or merchant cash advance... repayment adjusts to daily sales'), a non-dilutive/revenue-linked capital p",genuine_correct
shopify-capital,Shopify Capital,https://www.shopify.com/capital,genuine_correct,allocator,SMV,True,"Self-describes as funding where merchants 'repay as you sell' via a fixed percentage of daily sales, a revenue-share/non-dilutive capital product fitting SMV.",genuine_correct
paypal-working-capital,PayPal Working Capital,https://www.paypal.com/us/business/financial-services/working-capital,genuine_correct,allocator,SMV,True,Offers a business loan repaid automatically 'with a share of your PayPal sales' under one fixed fee — sales-linked non-dilutive financing consistent with SMV.,genuine_correct
youlend,YouLend,https://www.youlend.com/,junk_not_allocator,product_or_saas,none,False,"Self-describes as a 'Global Embedded Financing Platform' providing infrastructure so partners (Amazon, Shopify, eBay) can embed financing — embedded-finance SaaS infrastructure, not an own-capital all",rescued_allocator->SMV
liberis,Liberis,https://www.liberis.com/,junk_not_allocator,product_or_saas,none,False,"Positions itself as 'Embedded Finance. Built together.' delivering funding 'embedded in their ecosystems' for partners like eBay/Nexi — embedded-finance infrastructure powering other platforms, not a ",rescued_allocator->SMV
parafin,Parafin,https://www.parafin.com/,junk_not_allocator,product_or_saas,none,False,"Explicitly 'A financing program, built for your platform' with white-labeled UI for partners (DoorDash, Amazon, Gusto) and states it 'is a financial technology company, not a bank' — embedded-finance ",rescued_allocator->SMV
getvantage,GetVantage,https://www.getvantage.co/,unverifiable,other,none,False,"Homepage and sub-pages render only a JS title ('Growth Capital & Embedded Financing for Digital Brands') with no substantive extractable body text, so the business model cannot be verified from the pa",unverifiable_keep_flag
velocity,Velocity,https://velocity.in/,genuine_correct,allocator,SMV,True,"Directly deploys capital — offers revenue-based financing/credit lines and states it has 'disbursed Rs 1100 Cr+' to 4,000+ brands, a non-dilutive growth-capital provider fitting SMV.",genuine_correct
klub,Klub,https://klubworks.com/,unverifiable,other,none,False,"Homepage (klub.ai) renders only the JS title 'Klub.ai | RaiseOS for Founders' with no substantive body content and the /about path 404s, so its model (RBF lender vs. platform) cannot be verified from ",unverifiable_keep_flag
recur-club,Recur Club,https://www.recurclub.com/,junk_not_allocator,marketplace_or_broker,none,False,"Self-describes as an 'AI-native debt platform' that 'matches you with the best lenders from our network of 100+ partners' — a marketplace/broker matching borrowers to third-party lenders, not an own-c",confirmed_ecosystem_nonallocator
sv8,SV8,https://sv8.vc/,genuine_misclassified,allocator,UVC,False,"Describes itself as a 'Silicon Valley-based Syndicate Venture Capital firm' that 'invest[s] in early-stage startups' — an equity early-stage venture allocator (UVC/LMV-leaning), not the revenue-based/",genuine_flag_reclassify
tangle-ventures,Tangle Ventures,https://tangleventures.io/,genuine_misclassified,allocator,Portfolio Capital,False,"Self-describes as 'a venture studio and M&A firm acquiring profitable... digital businesses, installing operators, and compounding value over decades' — a venture-studio/serial-acquirer (Portfolio Cap",genuine_flag_reclassify
dwp-capital,DWP Capital,https://dwpcapital.com/,unverifiable,other,none,False,"https://dwpcapital.com/ returns a persistent HTTP 500 Internal Server Error on repeated fetches, so the page cannot be loaded or judged.",unverifiable_keep_flag
union-group-fund,Union Group Fund,https://www.uniongroupfund.com/,genuine_correct,allocator,SMV,True,"Page states 'We develop and invest in small, bootstrapped vertical SaaS software companies' with a founder-friendly, non-VC, sustainable-growth model targeting post-launch companies with paying custom",genuine_correct
tvc-capital,TVC Capital,https://tvccapital.com/fund-focus/,genuine_correct,allocator,SMV,True,"Self-describes as a growth equity firm: 'We partner with companies at a stage of growth in between where traditional venture capital and growth equity firms are focused,' investing in capital-efficien",genuine_correct
