name,current_class,page_type,evidence
Levenue,SMV,non_allocator,Pure marketplace; Levenue never touches the asset. Homepage: 'Investors bid in a Dutch Auction for the offered contracts until a discount rate is reached.' Thir
Arc,SMV,non_allocator,"Treasury/cash-management software plus a venture-debt MARKETPLACE, not a balance-sheet lender. Reporting: 'Arc itself does not directly lend money. Rather, Arc "
Recur Club,SMV,non_allocator,Pure debt marketplace; capital comes from third-party institutions. Homepage: 'Our platform matches you with the best lenders from our network of 100+ partners 
Searchfunder,Search/ETA,non_allocator,"Online community/directory, not an investor. FAQ: 'Searchfunder.com is an online community of searchers, investors, lenders, brokers and other professionals.' I"
Search Fund Alliance,Search/ETA,non_allocator,"Non-profit membership/convening body, not a fund. Homepage: 'a non-profit organization comprised of members – including search fund investors and experienced CE"
Stanford Search Fund Center,Search/ETA,non_allocator,"Academic research center, not a capital allocator. Stanford GSB's Grousbeck-Holloway Center for Entrepreneurial Studies (CES): 'Since 1996, [CES] has conducted "
Acquire.com,SMV,non_allocator,Self-describes as 'The largest marketplace to buy and sell profitable online businesses.' Connects third parties ('get in front of 500k+ buyers'); a testimonial
Flippa,SMV,non_allocator,"Self-describes as 'the #1 platform to buy & sell online businesses' / '#1 marketplace globally' with 'a network of over 600,000 buyers & investors.' Revenue com"
Empire Flippers,SMV,non_allocator,The empireflippers.com entity self-describes as 'The #1 Curated Online Business Marketplace' that matches buyers and sellers for a commission. Its branded fund 
FE International,SMV,non_allocator,"Self-describes as 'an award-winning strategic advisor for technology businesses' offering Private Sales & Acquisitions, Investment Banking, and Due Diligence. I"
Axial,SMV,non_allocator,"Self-describes as 'a private deal network serving professionals who own, advise, and invest in North American lower middle market companies.' Axial provides mat"
BitsForDigits,SMV,non_allocator,bitsfordigits.com now 301-redirects entirely to flippa.com (https://flippa.com/?buy_sell=bfdredirect). The independent entity is defunct/absorbed into Flippa's 
Microns,LMV,non_allocator,Self-describes as the 'Marketplace of Micro Startups' — 'Acquire profitable online businesses with confidence.' Lists third-party micro-SaaS/online businesses f
Zebras Unite,Patient Capital,non_allocator,"zebrasunite.org self-describes as 'a founder-led, cooperatively owned global movement catalyzing culture, community, and capital'; the .org is the nonprofit arm"
AI Grant,LMV,non_allocator,"The flagged entity is aigrant.org, which states it gives '$5,000 - $50,000 in grants for open source projects, no strings attached' (cash or compute) and is a n"
Indie Hackers,LMV,non_allocator,"Homepage is a community/content platform: forums, 'Case Studies DB', 'Ideas DB', job board, 'Partner Up' co-founder matching, meetups. Monetizes via 'Subscribe "
ETA London,Search/ETA,non_allocator,"Self-describes as 'The UK's open community for searchers, investors, and acquisition entrepreneurs. Directory, events, and curated research, all in one place.' "
Founders First CDC,Sovereign Capital,non_allocator,"foundersfirstcdc.org is the 501(c)(3) nonprofit arm: 'We guide business owners through the process of achieving growth through curriculum, hands-on assignments,"
Faith Driven Investor,Sovereign Capital,non_allocator,'Faith Driven Investor is an educational website hosted by Faith Driven Movements (501c6) and FDM Foundation (501c3) nonprofit corporations' that 'exists to hel
CodeLaunch,Patient Capital,non_allocator,"Site states startups 'aren't required to surrender ANY equity' and lists 'NO EQUITY SURRENDERED'; finalists receive 'FREE SOFTWARE DEVELOPMENT' (services, not c"
Elobau,Patient Capital,non_allocator,"elobau is an operating industrial manufacturer (founded 1972, ~1,100 employees, ~EUR 160M turnover) that makes 'operator controls, machine safety, level measure"
Foundry,Patient Capital,non_allocator,Foundry is Harvard Business School's AI-powered startup community/accelerator. Its flagship program lets 'top founders compete at Harvard Business School for $1
Halcyon Incubator,Patient Capital,non_allocator,"Five-month social-entrepreneur fellowship. Only financial support is a living stipend: 'the incubator also provides a $10,000 stipend' so 'fellows have money fo"
Mahle,Patient Capital,non_allocator,Operating manufacturer: 'MAHLE is a leading international development partner and supplier to the automotive industry with customers in both passenger car and c
Perpetual Wealth AG,Patient Capital,non_allocator,Self-described 'wealth management boutique offering financial and family office services.' It advises rather than deploys principal capital: 'we advise and sear
Qubit Capital,Patient Capital,non_allocator,"Fundraising-advisory / investor-matchmaker: 'Qubit Capital pairs founders with the investors most likely to write a check' and offers a network of '20,000+ inve"
Theanna,Patient Capital,non_allocator,"Subscription education/community platform: '$99/month · Cancel anytime · 0% equity taken.' Provides AI guidance, mentors, tools, and community for a membership "
