entity_id,name,asset_class,liquidity_band,horizon_years,tech_enabled,tier,confidence,website,exit_quote,audit_flag,source_note,country,allocator,evidence_signal,liquidity_evidence_url,liquidity_evidence_note
pemba-capital,Pemba Capital Partners,Under Review,,,yes,in_disguise,med,https://pemba.com.au/hunt-camels-rather-than-unicorns/,"We've helped founders of our tech camels accelerate the growth of their organisations and achieve some incredible business outcomes like ASX listings, international expansion, transformational acquisitions, etc.","special_note followed: verified real Australian PE firm (not just a blog page); explicit anti-unicorn message + tech focus + allocator all present, but stated model is growth PE for bootstrapped mid-market companies, not an early-stage fund - owner should rule on whether growth PE belongs in the atlas; needs_review: final class placement","REAUDIT-FLAG: main page = standard Australian mid-market PE ($2b funds, 'liquidity for shareholders', 200+ buy&build). Admitted off a one-off 'hunt camels rather than unicorns' BLOG, not firm position | 2026-07-02 user-directed -> Under Review; borderline: admitted off one-off 'hunt camels not unicorns' blog, not firm positioning; kept, unplaced | audited 2026-07-02: https://pemba.com.au/hunt-camels-rather-than-unicorns/",Australia,yes,"Describes itself as 'a leading investor in high-growth, entrepreneurial businesses' providing 'equity capital for growth, strategic support for accelerated scaling and liquidity for shareholders', and in its blog as a tech investor that backs 'founder-owned tech businesses that have been bootstrapped', preferring camels over unicorns.",,
bigfoot-capital,Bigfoot Capital,Under Review,,,yes,verified,low,https://bigfootcap.com/,growth at all costs and the associated hyperfunding.' Strict self_id. Non-dilutive SaaS lender,needs_review: homepage JS-thin (only tagline fetched) and /about returned 404 - special_note asked to confirm RBF-lender status from page and that was NOT possible this session; lender status and Denver HQ rest on third-party profiles; allocator=true on lender-deploys-own-capital reading (YouLend precedent) but unconfirmed on-site,"Non-dilutive SaaS lender | 2026-07-02 user-directed -> Under Review; revenue-based lender (non-dilutive); return = loan repayment, not a company exit | audited 2026-07-02: https://bigfootcap.com/",United States,yes,"Only self-description retrievable from the site was the tagline 'The Solution to Your Dilution'; third-party profiles describe $1-5M non-dilutive loan facilities for B2B SaaS companies with $1.5M+ ARR (60+ companies funded, 0% cap table taken).",,
calm-company-fund,Calm Company Fund,Permanent,Permanent,,yes,anchor,med,https://calmfund.com/,We invest early in profitable businesses that want to maximize their chances of success and build for the long-term.,fund is PAUSED - homepage banner reads 'Calm Fund is taking a break'; Permanent classification rests on SEAL structure + long-term language rather than an explicit no-exit statement,"SEAL non-dilutive (anchor) | 2026-07-02 user-directed reclass Nimble->Permanent (no-exit signal, tie-break) | audited 2026-07-02: https://calmfund.com/",United States,yes,"Describes itself as 'An ecosystem of founders and funders of profitable, sustainable, calm businesses' and 'an investment firm that backs companies that do not risk survival for growth', investing early via its Shared Earnings Agreement with a software/bootstrapper portfolio.",,
indie-vc,Indie.vc,Nimble,Nimble,,yes,anchor,low,https://www.indie.vc/facts,Revenue-based seed terms (anchor),"needs_review: no stated horizon/exit path - Nimble placement unverified from current site; relaunched model uses plain SAFEs/equity, a departure from the original indie.vc revenue-share buyback terms the atlas may have classified on; also runs 'indieXL' buying secondary shares from profitable founders; SMV/Nimble reconciliation pending with thesis owner",Revenue-based seed terms (anchor) | audited 2026-07-02: https://www.indie.vc/facts,United States,yes,"Describes itself as 'typically the first investor on a startup's cap table' with checks of $250k-$2M via 'SAFEs or equity. No fancy terms, paybacks, or earn outs', 'decidedly generalist and founder-focused', and 'more A24 than a16z'.",,
lighter-capital,Lighter Capital,Under Review,SMV,3-4,yes,anchor,high,https://lightercapital.com/,Revenue-based lender (anchor),"special_note confirmed from page: revenue-based/non-dilutive LENDER (return = repayment, 'Longer payback terms (up to 4 years)' is a debt term, not a liquidity horizon); /about-us returned 404 so HQ taken from third-party sources | 2026-07-07 band fill: liquidity_band=SMV, horizon 3-4y from first-party FAQ (revenue-based repayment, 1.3-1.5x cap); asset_class ruling still pending.","Revenue-based lender (anchor) | 2026-07-02 user-directed -> Under Review; revenue-based lender (non-dilutive); return = loan repayment, not a company exit | audited 2026-07-02: https://lightercapital.com/",United States,yes,"Describes itself as founder-friendly, non-dilutive startup financing purpose-built for SaaS: 'Get up to $10M in founder-friendly financing that fits your business. No equity, board seats, or personal guarantees' and 'SaaS Is Our Specialty'.",https://www.lightercapital.com/faq,"first-party FAQ: ""you pay a fixed percentage of topline revenue until the total repayment cap is reached. The repayment cap varies between 1.3-1.5X the funded amount""; RBF terms typically 3y, up to 4y. Band filled 2026-07-07 (asset_class still Under Review)."
4d-ventures,4D Ventures,Permanent,Permanent,,yes,verified,high,https://www.4d.ventures/investment-thesis,"We are investing our own money; hence, we have no exit pressure. By contrast, ideally, we want to stay on board as long as possible","country ambiguous within Benelux: 'BV' legal form exists in both Netherlands and Belgium; core markets stated as 'Benelux and the UK' - needs_review only for HQ country, classification is clean","2026-06-06 re-grounded UPGRADE in_disguise->self_id: Tier1 verbatim on /investment-thesis 'investing our own money; hence we have no exit pressure ... stay on board as long as possible ... very long r | 2026-07-02 user-directed reclass Nimble->Permanent (no-exit signal, tie-break) | audited 2026-07-02: https://www.4d.ventures/investment-thesis",Netherlands,yes,"Describes itself as four entrepreneur-partners 'backing founders with a unique vision', investing their own money as patient capital in late-seed (>25K MRR) B2B SaaS, explicitly not for 'blitz-scalers' or founders who 'want to make a quick buck'.",,
buentrip-ventures,BuenTrip Ventures,SMV,SMV,,yes,in_disguise,med,https://www.buentrip.vc/blog/navigatingventurecapital,"In 2024, the average LATAM IPO is valued at $50.82M, much less than the US average of $236M.","PROPOSAL ONLY (SMV<->Nimble line pending owner reconciliation): sub-unicorn outcomes + longer-than-US liquidity timelines fit SMV better than Nimble's fast-exit definition; evidence source is a blog post, not a thesis page; no numeric horizon stated so band=SMV is inferred from outcome-size evidence | owner-ruling 2026-07-03: SMV (from Nimble) per sub-unicorn/slower-liquidity evidence","2026-06-06 re-grounded: S1 verbatim confirmed on own blog ""'Camels' rather than 'Unicorns' ... prioritize sustainable growth ... discipline and resourcefulness"". | audited 2026-07-02: https://www.buentrip.vc/blog/navigatingventurecapital",Ecuador,yes,"Describes itself as Ecuadorian entrepreneurs investing in LatAm B2B digital-transformation startups through 'Early Ownership at Attractive Valuations', capital efficiency, and community building, explicitly rejecting the Silicon Valley unicorn playbook for the region.",,
buyback-ventures,BuyBack Ventures,Nimble,Nimble,5+,yes,verified,med,https://buyback.vc/,"After year five, we like to have founders buy back equity on a consistent basis at least up to 1x.","buyback/redemption model = liquidity WITHOUT an exit, fits neither SMV nor Nimble cleanly (Nimble retained on ~year-5 buyback cadence, 'Expected Return: 1-5x + 2-5%'); largely industry-agnostic though it names AI agent/marketplace-plugin/add-on products; new firm (2025, JV of Keshif Ventures + Crescent Ridge per third-party)",Redeemable equity (profits buy back equity) | audited 2026-07-02: https://buyback.vc/,United States,yes,"Describes itself as 'an investment program operated by aligned family offices' investing in 'bootstrapped or lightly funded companies that want capital without giving up control forever', on 'a mission to build an alternative startup ecosystem that works for entrepreneurs building stable, profitable companies'.",https://buyback.vc/,homepage
camel-ventures-egypt,Camel Ventures,Nimble,Nimble,,yes,in_disguise,low,https://www.camel.ventures/,We believe in Camels (not only potential Unicorns) – the embodiment of the character,"needs_review: no stated liquidity horizon - Nimble band cannot be evidenced from the site; dual-instrument firm (venture DEBT + VC equity): the debt side returns via repayment, which under the lender rule could argue for partial Under Review treatment",2026-06-06 re-grounded: S1 verbatim confirmed on homepage 'We believe in Camels (not only potential Unicorns)'. | audited 2026-07-02: https://www.camel.ventures/,Egypt,yes,"Describes itself as 'The Pioneering Venture Debt and Venture Capital Partner for FinTech and FinTech-enabling Startups in Egypt', offering 'diverse investment instruments' as an 'alternative financing source', with the camel as the embodiment of what it looks for in startups.",,
d2-fund,D2 Fund,Nimble,Unknown,,yes,verified,low,https://d2.fund/,,"needs_review: no stated liquidity horizon or exit model on site - Nimble class rests on capital-efficiency ethos only; smaller-market criterion also unevidenced (UK & Europe B2B) | 2026-07-07 band research (Sifted launch article, third-party): D2's 'Hero' instrument is revenue-based financing - ~5% of revenue for 5y if the founder opts out of raising - with explicit sub-unicorn framing ('half the portfolio makes 1-2x... we don't need the next Google'). This points to an SMV-style band, which CONFLICTS with the committed asset_class=Nimble; band left Unknown pending owner reconciliation of class vs band.",Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale) | audited 2026-07-02: https://d2.fund/,United Kingdom,yes,"Describes itself as 'Funding capital-efficient software businesses' in B2B software, favoring 'companies that can demonstrate a tangible ROI for their product' and prioritizing 'sustainable compounding growth' over fundraising milestones.",,
