name,entity_type,category,claim,source_url,source_quality,evidence_status,why_it_matters,last_verified_at
TinySeed,accelerator/fund,Revenue-based / bootstrapped SaaS capital,"TinySeed says it helps B2B SaaS companies scale without traditional fundraising, losing control, or pressure to build a unicorn.",https://tinyseed.com/,primary,verified_fact,"Core ecosystem infrastructure for bootstrapped and non-unicorn SaaS founders.",2026-05-22
TinySeed About,accelerator/fund,Revenue-based / bootstrapped SaaS capital,"TinySeed says it began because MicroConf-style capital-efficient startups had two choices: bootstrap or raise VC.",https://tinyseed.com/about,primary,verified_fact,"Directly supports the thesis that the funding menu is incomplete.",2026-05-22
Lighter Capital,capital provider,Revenue-based financing,"Lighter Capital offers revenue-based financing and non-dilutive growth capital for tech companies.",https://www.lightercapital.com/,primary,candidate_evidence,"Instrument/fund example for founders who need capital without traditional VC dilution.",2026-05-22
Calm Company Fund,capital provider,Shared earnings / patient capital,"Calm Company Fund describes shared earnings and SAFE-style structures for calm companies.",https://calmfund.com/writing/shared-earnings-safe,primary,candidate_evidence,"Important instrument lineage from Earnest Capital / calm-company movement.",2026-05-22
Basecamp Bootstrapped Profitable Proud,media/discourse,Founder discourse,"Basecamp hosts a Bootstrapped, Profitable, and Proud series for profitable companies with over $1M revenue that did not take VC.",https://basecamp.com/bootstrapped,primary,verified_fact,"Founder-facing language and proof tradition for non-VC success.",2026-05-22
Acquire.com,marketplace,Acquisition marketplace,"Acquire.com positions itself as a startup acquisition marketplace.",https://help.acquire.com/how-does-acquire.com-work,primary,candidate_evidence,"Market infrastructure for startup/online-business acquisitions.",2026-05-22
Searchfunder,community/platform,Search / ETA,"Searchfunder is a community/network for search funds and entrepreneurship through acquisition.",https://www.searchfunder.com/,primary,candidate_evidence,"Core ETA ecosystem reference.",2026-05-22
SV8,fund/syndicate,Acquisition-first venture,"SV8 says it invests in early-stage startups through an M&A lens and embeds acquisition thinking from day one.",https://sv8.vc/,primary,candidate_evidence,"Directly relevant to Strategic Middle Ventures and acquisition-designed venture paths.",2026-05-22
Tangle Venture Studio,venture studio / acquirer,Portfolio capital / overlooked company acquisition,"Tangle describes itself as acquiring profitable overlooked digital businesses, installing operators, and compounding value over decades.",https://tangleventures.io/,primary,candidate_evidence,"Useful bridge between SMVs, patient capital, and operator-led acquisition platforms.",2026-05-22
SureSwift Capital,acquirer/holding company,Portfolio capital / SaaS acquisition,"SureSwift founder described acquiring 40+ bootstrapped businesses and running a SaaS portfolio.",https://www.indiehackers.com/post/we-ve-acquired-40-bootstrapped-businesses-in-6-years-and-run-a-growing-portfolio-of-saas-products-ama-3f640f44fc,discourse,candidate_evidence,"Shows acquirer/holding-company infrastructure for bootstrapped SaaS exits.",2026-05-22
Venture Studio Index,research/media,Portfolio capital,"Venture Studio Index analyzed 1,700+ venture studio startups and exit patterns.",https://www.venturestudioindex.com/p/the-largest-venture-studio-exits,research,candidate_evidence,"Potential evidence base for Portfolio Capital classification.",2026-05-22
BREIT Offering Terms,liquidity analogy,Private market liquidity,"BREIT terms state repurchases are generally limited to 2% of NAV per month and 5% per calendar quarter, with discretion to repurchase fewer or none.",https://www.breit.com/offering-terms/,primary,verified_fact,"Supporting liquidity-design example only; not a core proof of Post-Unicorn Finance.",2026-05-22
