fund_id,name,tier,asset_class,confidence,flag,evidence_url,tech_enabled
pemba-capital,Pemba Capital Partners,in_disguise,SMV,low,"REAUDIT-FLAG: main page = standard Australian mid-market PE ($2b funds, 'liquidity for shareholders', 200+ buy&build). Admitted off a one-off 'hunt camels rather than unicorns' BLOG, not firm positioning. Likely false-positive - re-review.",https://pemba.com.au/hunt-camels-rather-than-unicorns/,yes
bigfoot-capital,Bigfoot Capital,verified,Nimble,high,Non-dilutive SaaS lender,https://bigfootcap.com/,yes
calm-company-fund,Calm Company Fund,anchor,Nimble,high,SEAL non-dilutive (anchor),https://calmfund.com/,yes
indie-vc,Indie.vc,anchor,Nimble,high,Revenue-based seed terms (anchor),https://www.indie.vc/facts,yes
lighter-capital,Lighter Capital,anchor,Nimble,high,Revenue-based lender (anchor),https://lightercapital.com/,yes
4d-ventures,4D Ventures,verified,Nimble,high,2026-06-06 re-grounded UPGRADE in_disguise->self_id: Tier1 verbatim on /investment-thesis 'investing our own money; hence we have no exit pressure ... stay on board as long as possible ... very long run (if needed by a generation)'. No LP exit clock. Class stays Nimble (small capital-efficient SaaS tickets).,https://www.4d.ventures/investment-thesis,yes
buentrip-ventures,BuenTrip Ventures,in_disguise,Nimble,high,"2026-06-06 re-grounded: S1 verbatim confirmed on own blog ""'Camels' rather than 'Unicorns' ... prioritize sustainable growth ... discipline and resourcefulness"".",https://www.buentrip.vc/blog/navigatingventurecapital,yes
buyback-ventures,BuyBack Ventures,verified,Nimble,med,Redeemable equity (profits buy back equity),https://buyback.vc/,yes
camel-ventures-egypt,Camel Ventures,in_disguise,Nimble,high,2026-06-06 re-grounded: S1 verbatim confirmed on homepage 'We believe in Camels (not only potential Unicorns)'.,https://www.camel.ventures/,yes
d2-fund,D2 Fund,verified,Nimble,med,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale),https://d2.fund/,yes
golden-section,Golden Section,verified,Nimble,med,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale),https://www.goldensection.com/,yes
gorilla-capital,Gorilla Capital,anchor,Nimble,med,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale),https://gorillacapital.fi/,yes
hasan-vc,HASAN.VC,verified,Nimble,med,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale),https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/,yes
henq,henQ,in_disguise,Nimble,high,2026-06-06 re-grounded: S3 verbatim confirmed 'build a sustainable business without ever raising VC funding again'.,https://www.henq.vc/,yes
iolar-ventures,Iolar Ventures,verified,Nimble,med,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale),https://iolar.vc/,yes
kickstart,Kickstart,provenance,Nimble,med,Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV reserved for non-capital-efficient venture-scale),https://kickstart.com/,yes
saasholic,SaaSholic,in_disguise,Nimble,high,2026-06-06 re-grounded (agent had returned NONE): S2/S3 verbatim confirmed on own blog 'Capital efficiency beats hyper-growth'.,https://blog.saasholic.com/p/doing-it-wrong-again-saasholics-next,yes
