fund_id,name,niche,admitted_via,self_id_quote,evidence_url,hand_verified,status,discovered_round,notes,target_economy
permanent-equity,Permanent Equity,permanent-capital,self_id,We invest with no intention of selling (and have never sold a portfolio company).,https://www.permanentequity.com/,YES,verified,batch1,Hand-verified by operator (quote present with surrounding context). 30-year funds; explicit no-flip / no-forced-exit thesis. Allocator: own-capital PE.,mixed
enduring-ventures,Enduring Ventures,permanent-capital,self_id,"We're different from most VC and PE firms in that we operate the businesses we own for sustainability, and not growth at all-costs.",https://www.enduring.ventures/about,YES,verified,batch1,"Hand-verified. Correct site is enduring.ventures (enduringventures.com has a TLS cert error). Permanent-capital control-buyer; also says no 3-5yr exit mandate, won't flip.",mixed
purpose-ventures,Purpose Ventures,steward-ownership,self_id,"Our terms allow companies to stay independent, provide investors liquidity without a sale or exit, and build impactful companies.",https://purpose-economy.org/en/investment/,YES,verified,batch1,Hand-verified (this exact line confirmed on page; differs from the agent's original quote). Steward-ownership investor; liquidity without sale/exit.,mixed
bigfoot-capital,Bigfoot Capital,non-dilutive SaaS lender,self_id,"We started Bigfoot in 2017 to push back against what we viewed to be an overly pervasive and often reckless format for building and capitalizing software businesses, that of growth at all costs and the associated hyperfunding to pursue it.",https://bigfootcap.com/,YES,verified,batch1,"CONVERTED pending->verified 2026-06-03: Exa raw-markdown fetch of bigfootcap.com homepage now returns full body text carrying the verbatim model-rejection quote (prior pending was a fetch limitation, not a content problem). Allocator: deploys $1-5M committed multi-draw term-loan facilities (no warrants, '0% cap table taken') into established B2B software; 'We're in your boat, not on your cap table.' Explicit rejection of 'growth at all costs and the associated hyperfunding.' Strict self_id.",tech
banyan-software,Banyan Software,buy-and-hold software,self_id,We don't resell your business down the road.,https://www.banyansoftware.com/about,YES,verified,batch2,Hand-verified by operator (quote verbatim under 'Our philosophy'). Buy-and-hold-for-life = explicit rejection of the exit/flip model. Allocator: acquires and holds software businesses. [QUOTE UPGRADED 2026-06-03 to on-page name-and-reject; founder story rejects firms that 'resell the business a few years down the road'; also 'With no need or desire to sell our businesses down the road.'],tech
calm-capital,Calm Capital,holdco (founder-led & family businesses),self_id,"Not in the ""hair on fire,"" ""growth at all costs,"" or ""buy and flip"" way, but the principled, patient, and persistent way... The Calm Capital way.",https://www.calmcapital.com/,YES,verified,batch3,"Hand-verified on Exa raw markdown of homepage. Explicit rejection of 'growth at all costs' and 'buy and flip' in favor of 'principled, patient, and persistent.' Allocator: private partnership acquiring founder-led/family-controlled businesses (holdco).",mixed
big-band-software,Big Band Software,buy-and-hold software,self_id,"we buy and run companies without pressure to quickly extract or flip. In an industry addicted to quick wins, we chase enduring value.",https://www.bigbandsoftware.com/,YES,verified,batch3,"Hand-verified on Exa raw markdown of homepage. Also: 'Unlike the private equity model, we only buy companies we want to run long term.' Explicit extract/flip-model rejection. Allocator: acquires & runs B2B SaaS ($1-10M ARR); backed by ParkerGale, Talisman, Dan Martell.",tech
everhold,Everhold,permanent-capital holdco (small B2B),self_id,to acquire exceptional small businesses and hold them forever. We're not a private equity firm.,https://www.everhold.com/,YES,verified,batch3,"Hand-verified on Exa raw markdown of homepage. Explicit no-PE / hold-forever / no-exit self-ID ('without ever selling them'; 'permanent capital ... without pressure to exit'). Allocator: private holdco, full buyouts of US founder-led B2B ($500K-2M EBITDA). NASCENT: evaluating first acquisitions (mandate genuine; no closed deals yet).",mixed
evergreen-services-group,Evergreen Services Group,buy-and-hold-forever holdco (tech services/MSP),self_id,"As a permanent owner, we are a true home for the companies we partner with, preserving what has made each business great while accelerating long-term growth.",https://www.evergreensg.com/,YES,verified,batch3,"[PROMOTED 2026-06-03 in_disguise->self_id: structural-permanence broadening per user; mechanism=permanent-owner buy-and-hold acquirer (MSPs)] [DEMOTED 2026-06-03 strict->in_disguise: uniform name-and-reject re-audit. 'Permanent owner / true home' asserted; FAQ reveals Alpine Investors committed-capital (fund-like); PE-contrast is culture/employee-retention, not no-flip/no-exit. Allocator; reversible.] Hand-verified on Exa raw markdown of homepage ('A Permanent Home for Businesses'; 'Unlike other private equity firms ...'). Press-corroborated: 'We are never selling the businesses that we buy ... no grand exit strategy' (CRN/ChannelE2E). Berkshire/Constellation-model MSP holdco, 80+ companies; backed by Alpine Investors committed capital.",tech
purpose-evergreen-capital,Purpose Evergreen Capital,steward-ownership evergreen fund (SME),self_id,Purpose Evergreen Capital is an evergreen investment fund without pressure to force an exit.,https://purpose-economy.org/en/pec/,YES,verified,batch3,"Hand-verified on Exa raw markdown. Explicit anti-power-law: 'investor return rate is capped at a maximum rate'; 'investments ... that do not follow the short-term-oriented logic of the capital market'; 'a world that is not dominated by profit-at-all-cost entities.' Allocator: equity/subordinated loans EUR0.5-5M to SMEs in/transitioning to steward-ownership; ~EUR30M from ~20 investors. Sibling of Purpose Ventures (Purpose Group, Hamburg).",mixed
