claim_id,entity_id,entity_name,claim_type,claim,source_url,source_type,source_quality,source_tier,evidence_status,last_verified_at,notes
claim-quiet-light-001,quiet-light,Quiet Light,classification,Quiet Light is a candidate online business acquisition advisor.,https://quietlight.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-bizbuysell-001,bizbuysell,BizBuySell,classification,BizBuySell is a candidate SMB acquisition marketplace.,https://www.bizbuysell.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-bizquest-001,bizquest,BizQuest,classification,BizQuest is a candidate SMB acquisition marketplace.,https://www.bizquest.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-purpose-ventures-001,purpose-ventures,Purpose Ventures,classification,Purpose Ventures is a candidate patient-capital venture entity.,https://purpose.ventures/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-candide-group-001,candide-group,Candide Group,classification,Candide Group is a candidate impact/patient-capital ecosystem entity.,https://candidegroup.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-microconf-001,microconf,MicroConf,classification,MicroConf is a candidate community node for bootstrapped and calm company founders.,https://microconf.com/,official_site,primary,public_web,candidate_evidence,2026-05-22,Use as discovery evidence until source text is reviewed and quoted/paraphrased in the paper.
claim-bigthinkcapital-intake-001,bigthinkcapital,Bigthinkcapital,intake_smv_bucket_signal,Bigthinkcapital has source-backed SMV bucket evidence: source text contains 'bootstrapped'.,https://bigthinkcapital.com/revenue-based-financing-companies,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-24,Auto-promoted intake evidence; not paper-ready. Snippet: They have a strong focus on helping bootstrapped SaaS companies grow without giving up equity.
claim-bigthinkcapital-intake-002,bigthinkcapital,Bigthinkcapital,intake_smv_bucket_signal,Bigthinkcapital has source-backed SMV bucket evidence: source text contains 'b2b saas'.,https://bigthinkcapital.com/revenue-based-financing-companies,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-24,"Auto-promoted intake evidence; not paper-ready. Snippet: Founderpath Specifically designed for B2B SaaS founders, Founderpath provides non-dilutive financing options that operate similarly to revenue-based loans."
claim-bigthinkcapital-intake-003,bigthinkcapital,Bigthinkcapital,intake_smv_bucket_signal,Bigthinkcapital has source-backed SMV bucket evidence: source text contains 'recurring revenue'.,https://bigthinkcapital.com/revenue-based-financing-companies,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-24,"Auto-promoted intake evidence; not paper-ready. Snippet: Some focus exclusively on SaaS companies with recurring revenue, while others cater to e-commerce brands or other online businesses."
claim-bigthinkcapital-intake-004,bigthinkcapital,Bigthinkcapital,intake_smv_bucket_signal,Bigthinkcapital has source-backed SMV bucket evidence: source text contains 'revenue-based'.,https://bigthinkcapital.com/revenue-based-financing-companies,fetched_source_page,unknown,public_web,candidate_evidence,2026-05-24,Auto-promoted intake evidence; not paper-ready. Snippet: Revenue-based financing provides the perfect solution.
