entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes,moved_reason
levenue,Levenue,Ecosystem/Infrastructure,Instrument,capital marketplace,https://www.levenue.com/,active,public_web,Europe,recurring revenue companies,revenue-based financing marketplace,revenue_based_financing,recurring-revenue companies,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital marketplace,73,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
arc,Arc,Ecosystem/Infrastructure,Instrument,capital platform,https://www.arc.tech/,active,public_web,United States,software startups,startup banking and non-dilutive capital,non_dilutive_capital,software startups and recurring revenue businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital platform,74,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
recur-club,Recur Club,Ecosystem/Infrastructure,Instrument,capital marketplace,https://www.recurclub.com/,active,public_web,India,recurring revenue businesses,revenue financing marketplace,revenue_based_financing,subscription and recurring-revenue businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital marketplace,73,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
searchfunder,Searchfunder,Ecosystem/Infrastructure,Portfolio Capital,community/platform,https://www.searchfunder.com/,active,public_web,Global,search funds,search fund community and resources,search_capital,searchers and ETA investors,candidate supports industry mapping outside or adjacent to classic unicorn VC,community platform,88,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
search-fund-alliance,Search Fund Alliance,Ecosystem/Infrastructure,Portfolio Capital,industry association,https://www.searchfundalliance.org/,active,public_web,United States,search funds,search fund investor/member network,search_capital,search fund investors and searchers,candidate supports industry mapping outside or adjacent to classic unicorn VC,industry network,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
stanford-search-fund-center,Stanford Search Fund Center,Ecosystem/Infrastructure,Search/ETA,research center,https://www.gsb.stanford.edu/experience/about/centers-institutes/ces/research/search-funds,active,public_web,United States,search funds,research and education,search_capital,searchers and investors,candidate supports industry mapping outside or adjacent to classic unicorn VC,research institution,84,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
acquire-com,Acquire.com,Ecosystem/Infrastructure,Search/ETA;Instrument,acquisition marketplace,https://acquire.com/,active,public_web,Global,startups and internet businesses,startup acquisition marketplace,marketplace,startup founders and buyers,candidate supports industry mapping outside or adjacent to classic unicorn VC,acquisition marketplace,88,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
flippa,Flippa,Ecosystem/Infrastructure,Search/ETA,acquisition marketplace,https://flippa.com/,active,public_web,Global,online businesses,online business marketplace,marketplace,buyers and sellers of online businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,acquisition marketplace,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
empire-flippers,Empire Flippers,Ecosystem/Infrastructure,Search/ETA,acquisition marketplace,https://empireflippers.com/,active,public_web,Global,online businesses,vetted online business marketplace,marketplace,buyers and sellers of online businesses,candidate supports industry mapping outside or adjacent to classic unicorn VC,acquisition marketplace,80,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
fe-international,FE International,Ecosystem/Infrastructure,Search/ETA,M&A advisor,https://feinternational.com/,active,public_web,Global,SaaS / ecommerce / content,technology business M&A advisory,marketplace;m_and_a_advisory,technology business buyers and sellers,candidate supports industry mapping outside or adjacent to classic unicorn VC,M&A advisor,78,candidate_evidence,2026-05-22,Atlas seed row; verify source text before using as paper-ready evidence.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
