entity_id,name,atlas_layer,reason
tinyseed,TinySeed,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
calm-company-fund,Calm Company Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
earnest-capital,Earnest Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
indie-vc,Indie.vc,background,not in 258 tech base / non-tech
lighter-capital,Lighter Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
capchase,Capchase,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
founderpath,Founderpath,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pipe,Pipe,background,not in 258 tech base / non-tech
clearco,Clearco,background,not in 258 tech base / non-tech
wayflyer,Wayflyer,background,not in 258 tech base / non-tech
uncapped,Uncapped,background,not in 258 tech base / non-tech
outfund,Outfund,background,not in 258 tech base / non-tech
decathlon-capital-partners,Decathlon Capital Partners,background,not in 258 tech base / non-tech
saas-capital,SaaS Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
novel-capital,Novel Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
bigfoot-capital,Bigfoot Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
espresso-capital,Espresso Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
timia-capital,TIMIA Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
flow-capital,Flow Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
braavo-capital,Braavo Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
stripe-capital,Stripe Capital,background,not in 258 tech base / non-tech
shopify-capital,Shopify Capital,background,not in 258 tech base / non-tech
paypal-working-capital,PayPal Working Capital,background,not in 258 tech base / non-tech
youlend,YouLend,background,not in 258 tech base / non-tech
liberis,Liberis,background,not in 258 tech base / non-tech
parafin,Parafin,background,not in 258 tech base / non-tech
getvantage,GetVantage,background,not in 258 tech base / non-tech
velocity,Velocity,background,not in 258 tech base / non-tech
klub,Klub,background,not in 258 tech base / non-tech
sv8,SV8,background,not in 258 tech base / non-tech
tangle-ventures,Tangle Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
dwp-capital,DWP Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
union-group-fund,Union Group Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
tvc-capital,TVC Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
d2-fund,D2 Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
seedtwo-capital,SeedTwo Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sequel-capital,Sequel Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
mainsail-partners,Mainsail Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
serent-capital,Serent Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
mamba-growth,Mamba Growth,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
five-elms-capital,Five Elms Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
elsewhere-partners,Elsewhere Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sunstone-partners,Sunstone Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
expedition-growth-capital,Expedition Growth Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
silversmith-capital-partners,Silversmith Capital Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
level-equity,Level Equity,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sureswift-capital,SureSwift Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
tiny,Tiny,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
constellation-software,Constellation Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
volaris-group,Volaris Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
valsoft,Valsoft,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
banyan-software,Banyan Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
saas-group,saas.group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
everfield,Everfield,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
lumine-group,Lumine Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
topicus,Topicus,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
aspire-software,Aspire Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
jonas-software,Jonas Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
harris-computer,Harris Computer,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
perseus-group,Perseus Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
esw-capital,ESW Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
alpine-software-group,Alpine Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
scaleworks,Scaleworks,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
greater-sum-ventures,Greater Sum Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
arcadea-group,Arcadea Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
tag-software-group,TAG Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
vertus-group,Vertus Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
software-circle,Software Circle,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
chapters-group,Chapters Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
