fund_id,name,liquidity_signal,horizon_years,exit_size_usd,evidence_quote,evidence_url,source_tier,confidence,current_class,proposed_band,proposed_reclass,needs_review,audited_at
pemba-capital,Pemba Capital Partners,fast,,,"r shareholders', 200+ buy&build). Admitted off a one-off 'hunt camels rather than unicorns' BLOG, not firm positioning. Likely false-positiv",https://pemba.com.au/hunt-camels-rather-than-unicorns/,language,med,SMV,Nimble,SMV->Nimble,False,2026-06-09
bigfoot-capital,Bigfoot Capital,fast,,,growth at all costs and the associated hyperfunding.' Strict self_id. Non-dilutive SaaS lender,https://bigfootcap.com/,language,med,Nimble,Nimble,,False,2026-06-09
calm-company-fund,Calm Company Fund,fast,,,SEAL non-dilutive (anchor),https://calmfund.com/,language,med,Nimble,Nimble,,False,2026-06-09
indie-vc,Indie.vc,fast,,,Revenue-based seed terms (anchor),https://www.indie.vc/facts,language,med,Nimble,Nimble,,False,2026-06-09
lighter-capital,Lighter Capital,fast,,,Revenue-based lender (anchor),https://lightercapital.com/,language,med,Nimble,Nimble,,False,2026-06-09
4d-ventures,4D Ventures,none,,,"We are investing our own money; hence, we have no exit pressure ... we want to stay on board as long as possible so f",https://www.4d.ventures/investment-thesis,language,high,Nimble,Permanent,Nimble->Permanent,False,2026-06-09
buentrip-ventures,BuenTrip Ventures,fast,,,verbatim: 'Successful startups in Latin America often resemble Camels rather than Unicorns. They prioritize sustainable growth and operate w,https://www.buentrip.vc/blog/navigatingventurecapital,language,med,Nimble,Nimble,,False,2026-06-09
buyback-ventures,BuyBack Ventures,unknown,,,,https://buyback.vc/,language,low,Nimble,Unknown,,True,2026-06-09
camel-ventures-egypt,Camel Ventures,fast,,,We believe in Camels (not only potential Unicorns) – the embodiment of the character,https://www.camel.ventures/,language,med,Nimble,Nimble,,False,2026-06-09
d2-fund,D2 Fund,unknown,,,,https://d2.fund/,language,low,Nimble,Unknown,,True,2026-06-09
golden-section,Golden Section,fast,,,down of goldensection.com (Houston). Minority growth equity ($1-5M) + revenue-based financing/SaaS term loans for B2B vertical SaaS ($1-8M A,https://www.goldensection.com/,language,med,Nimble,Nimble,,False,2026-06-09
gorilla-capital,Gorilla Capital,unknown,,,,https://gorillacapital.fi/,language,low,Nimble,Unknown,,True,2026-06-09
hasan-vc,HASAN.VC,fast,,,HASAN.VC prioritizes the cultivation of Camel startups over the pursuit of speculative Unicorns. Hand-verified,https://hasan.vc/shariah-compliant-investing-in-start-ups-with-the-camel-framework/,language,med,Nimble,Nimble,,False,2026-06-09
henq,henQ,unknown,,,,https://www.henq.vc/,language,low,Nimble,Unknown,,True,2026-06-09
iolar-ventures,Iolar Ventures,fast,,,apital.' Allocator: equity into early-stage software. Strict self_id (camel-VC). Capital-efficient equity -> Nimble (2026-06-03 ruling; SMV,https://iolar.vc/,language,med,Nimble,Nimble,,False,2026-06-09
kickstart,Kickstart,unknown,,,,https://kickstart.com/,language,low,Nimble,Unknown,,True,2026-06-09
saasholic,SaaSholic,slow,,,"SGUISE: pursues Nasdaq/US exits + AI-native high-growth and discusses unicorn outcomes - not anti-unicorn, but explicit capital-efficiency-o",https://blog.saasholic.com/p/doing-it-wrong-again-saasholics-next,language,med,Nimble,Unicorn,Nimble->Unicorn,False,2026-06-09
startup-ignition-ventures,Startup Ignition Ventures,unknown,,,,https://www.startupignition.com/ventures/,language,low,SMV,Unknown,,True,2026-06-09
sts-ventures,STS Ventures,fast,,,"chieve capital-efficient, sustainable growth. IN-DISGUISE (Tier 2, S1 camel branding + S2 capital-efficiency preference). Hand-verified on E",https://sts-ventures.de/portfolio/,language,med,Nimble,Nimble,,False,2026-06-09
tinyseed,TinySeed,unknown,,,,https://tinyseed.com/,language,low,Nimble,Unknown,,True,2026-06-09
upsidedown-vc,UpsideDown VC,unknown,,,,https://www.upsidedown.vc/,language,low,Nimble,Unknown,,True,2026-06-09
capacity-capital,Capacity Capital,fast,,,"not find detail. Per F4.fund third-party profile: Chattanooga solo-GP revenue-based fund (Jonathan Bragdon), Indie.vc-inspired redeemable eq",https://capacitycapital.co/,language,med,Nimble,Nimble,,False,2026-06-09
alexandria-capital,Alexandria Capital,none,,,"We do not sell our companies after acquisition, as we hold businesses per",https://alexcapital.co/,language,high,Permanent,Permanent,,False,2026-06-09
banyan-software,Banyan Software,none,,,d. Hand-verified by operator (quote verbatim under 'Our philosophy'). Buy-and-hold-for-life = explicit rejection of the exit/flip model. All,https://www.banyansoftware.com/about,language,high,Permanent,Permanent,,False,2026-06-09
based-holdco,Based,none,,,"tural-permanence broadening per user; mechanism=long-term holding co, buy-and-hold enduring companies] Hand-verified on Exa raw markdown of",https://www.basedinc.com/,language,high,Permanent,Permanent,,False,2026-06-09
big-band-software,Big Band Software,unknown,,,,https://www.bigbandsoftware.com/,language,low,Permanent,Unknown,,True,2026-06-09
calm-capital,Calm Capital,unknown,,,,https://www.calmcapital.com/,language,low,Permanent,Unknown,,True,2026-06-09
collab-holdings,Collab Holdings,unknown,,,,https://collabfund.com/blog/collab-holdings/,language,low,Excluded-Traditional,Unknown,,True,2026-06-09
concepts-io,Concepts.io,none,,,ip. Hand-verified on Exa raw markdown of concepts.io homepage. Also: 'No exit pressure - only durable returns'; 'No Venture Capital'; 'Most,https://concepts.io/,language,high,Permanent,Permanent,,False,2026-06-09
croissant,Croissant,unknown,,,,https://croissant.today/,language,low,Permanent,Unknown,,True,2026-06-09
curious,Curious (Curious Holdings),unknown,,1e+07,,https://www.curiousholdings.com/,language,low,Permanent,Unknown,,True,2026-06-09
define-capital,Define Capital,none,,5e+06,"curl) 2026-06-03: 'We buy and hold forever.'; 'Forever Hold Model (We Never Sell)'; 'No reselling - Your team, name, and structure stay inta",https://definecapital.ca/,language,high,Permanent,Permanent,,False,2026-06-09
emikoly,Emikoly,unknown,,,,https://emikoly.com/,language,low,Excluded-Traditional,Unknown,,True,2026-06-09
enduring-ventures,Enduring Ventures,none,,,"r). Permanent-capital control-buyer; also says no 3-5yr exit mandate, won't flip.",https://www.enduring.ventures/about,language,high,Permanent,Permanent,,False,2026-06-09
everfield,Everfield,none,,,"40+ B2B software cos, decentralized model). Explicit name-and-reject (won't sell business at any point in the future). PE-funded but permane",https://everfield.com/,language,high,Permanent,Permanent,,False,2026-06-09
evergreen-ftg,Evergreen Financial Technology Group,none,,,quirer (allocator); reversible.] Hand-verified on Exa raw markdown of evergreenftg.com. Evergreen holdco for software serving financial inst,https://evergreenftg.com/,language,high,Permanent,Permanent,,False,2026-06-09
evergreen-services-group,Evergreen Services Group,none,,,'Unlike other private equity firms ...'). Press-corroborated: 'We are never selling the businesses that we buy ... no grand exit strategy' (,https://www.evergreensg.com/,language,high,Permanent,Permanent,,False,2026-06-09
