workstream,query,why_it_exists,priority
SMV Evidence Engine,"bootstrapped SaaS acquired for $100 million","Find mid-market acquisition outcomes from non-VC or capital-efficient companies.",high
SMV Evidence Engine,"strategic acquisition bootstrapped software company acquired","Find strategic-buyer examples where integration value matters.",high
SMV Evidence Engine,"profitable SaaS acquired private equity bootstrapped","Find PE/strategic middle outcomes for durable SaaS businesses.",high
Founder / Investor Discourse,"founder turned down VC bootstrapped SaaS acquisition","Find founder quotes rejecting unicorn-style financing.",medium
Founder / Investor Discourse,"why venture capital does not fit most businesses founder","Find discourse on power-law mismatch.",medium
Funds + Instruments Map,"revenue based financing SaaS fund founders no VC","Map non-dilutive and revenue-linked instruments.",high
Funds + Instruments Map,"shared earnings agreement startup investing fund","Map shared earnings and capped return structures.",high
Funds + Instruments Map,"acquisition first venture capital startups M&A lens","Find acquisition-designed venture funds.",high
Funds + Instruments Map,"search fund entrepreneurship through acquisition technology companies","Map ETA/search overlaps with tech-enabled acquisition.",medium
Future Platform,"startup acquisition marketplace SaaS micro acquisitions","Map marketplace/acquirer infrastructure.",medium
