fund,group,company,sector,country,headcount,headcount_num,employee_participation,participation_bucket,participation_source_url,participation_quote,headcount_source_url
Mainsail Partners,atlas,JobNimbus,Home services / roofing & contractor management software (vertical SaaS),"United States (American Fork, UT)",~270–283 employees (PitchBook ~283; LeadIQ ~269 as of Dec 2025; RocketReach ~270),270,unknown/not public,unknown,,"No ESOP or broad-based employee ownership program found in public sources. On 2025 Inc. 5000 list (#1,936).",https://pitchbook.com/profiles/company/435069-64
Mainsail Partners,atlas,Rentvine,Property management software (vertical SaaS),"United States (Estero, FL)",~158 employees (company About page); ~135 per RocketReach,158,unknown/not public,unknown,,No public source found on employee ownership structure. On 2025 Inc. 5000 list (#60).,https://www.rentvine.com/about
Mainsail Partners,atlas,Skimmer,Field services — pool service business management software (vertical SaaS),"United States (Scottsdale, AZ)",~89 employees as of Feb 2026 (LeadIQ); Crunchbase range 51–100,89,unknown/not public,unknown,,No public source found on employee ownership structure. On 2025 Inc. 5000 list (#844).,https://leadiq.com/c/skimmer/602433b9411f372b409c2e5d
Mainsail Partners,atlas,Syncro,IT/MSP management software (vertical SaaS),"United States (Fully remote; founded Kalamazoo, MI)",~111 employees as of Feb 2026 (LeadIQ); Tracxn ~89 as of Jul 2025,111,unknown/not public,unknown,,No public source found on employee ownership structure.,https://leadiq.com/c/syncro/5d9c875e408f0cc3d919980b
Mainsail Partners,atlas,Red Oak Compliance Solutions,Compliance software for financial institutions (vertical/RegTech SaaS),"United States (Austin, TX)",~116 employees as of Apr 2026 (Tracxn); other aggregators report lower,116,unknown/not public,unknown,,"No public source found on employee ownership structure. On 2025 Inc. 5000 list (#3,289).",https://tracxn.com/d/companies/redoakcompliance/__WsGLznNk4L3fcU6bLXSmV2RfoC96BV6o6FWVm06GAeI
Mainsail Partners,atlas,Extensiv,Supply chain / warehouse management & 3PL software (vertical SaaS),"United States (El Segundo, CA)",not public (verified figure not found; LinkedIn page goExtensiv exists but exact count not captured),,unknown/not public,unknown,,No public source found on employee ownership structure; headcount not verified to a specific number.,https://www.linkedin.com/company/goextensiv
Mainsail Partners,atlas,Boostlingo,Language interpretation management software (vertical SaaS),"United States (Austin, TX)",not public (specific verified figure not retrieved),,unknown/not public,unknown,,"On 2025 Inc. 5000 list (#1,460). No verified headcount or employee-ownership source retrieved.",
Mainsail Partners,atlas,Instinct Science,Veterinary practice management software (vertical SaaS),United States,not public (specific verified figure not retrieved),,unknown/not public,unknown,,On 2025 Inc. 5000 list (#388). No verified headcount or employee-ownership source retrieved.,
Banyan Software,atlas,Atamis Ltd,"Procurement / strategic sourcing & spend-analytics software (e-procurement, public sector)",United Kingdom,"~32 employees as of 31 Dec 2020 (Tracxn; dated, pre-acquisition — current headcount not public)",32,none / standard VC option pool,none/standard-vc,https://mergr.com/atamis-acquired-by-banyan-software,No public evidence of employee ownership/ESOP; acquired by Banyan Software on 9 Nov 2021 into its permanent-capital holding structure as a wholly-owned business.,https://tracxn.com/d/companies/atamis/__JBI5aKPNpDANlSxxmjdmnSY9e2Fc9lbtvf4uv6XphFM
Banyan Software,atlas,Tecksoft (EyeVu EMR/PMS),Healthcare IT — eyecare Electronic Medical Record (EMR) and Practice Management Software,Canada,not public,,unknown/not public,unknown,https://banyansoftware.com/2024/06/05/tecksoft/,No comp-structure or employee-ownership disclosure found; acquired by Banyan Software on 5 Jun 2024 (Banyan press release).,https://tracxn.com/d/companies/tecksoft/__CyXFddWKtGtA0eMpKpHeaM2RVIQ6aWuxZkuFBIcfDWQ
Banyan Software,atlas,Presspage,Enterprise software — PR/newsroom & media-relations platform (MarTech/CommsTech),Netherlands,not public,,unknown/not public,unknown,https://banyansoftware.com/latest-news/,"No employee-ownership disclosure found; acquired by Banyan Software (Amsterdam-based Presspage platform, July 2025) into permanent ownership.",https://banyansoftware.com/latest-news/
Banyan Software,atlas,Linxio,IoT / fleet telematics — GPS vehicle tracking & fleet-management software,Australia,not public,,unknown/not public,unknown,https://banyansoftware.com/about/,"No employee-ownership/ESOP disclosure found; listed by Banyan as a portfolio business (founded 2013, Sydney). Comp structure not public.",https://www.cbinsights.com/company/linxio
Banyan Software,atlas,H&W Computer Systems,Enterprise software — IBM mainframe (z/OS) automation & batch-management tools,United States,not public,,none / standard VC option pool,none/standard-vc,https://banyansoftware.com/about/,Named by Banyan as a portfolio company; no employee-ownership/ESOP disclosure found — wholly-owned within Banyan's permanent-capital holdco. Current headcount not public.,https://banyansoftware.com/about/
Lighter Capital,atlas,dbt Labs (formerly Fishtown Analytics),"Data transformation / analytics engineering software (SaaS, open source)",United States,~870 employees (Dec 2025),870,standard options/RSU (concentrated),none/standard-vc,https://www.esofund.com/c/dbt-labs,"Third-party option-exercise services market 'Exercise your dbt Labs stock options' (ESO Fund), and dbt Labs raised a $150M Series C from Altimeter, Sequoia, and Andreessen Horowitz — a standard concentrated VC-style equity/option program; no broad employee-ownership or ESOP disclosed.",https://www.reveliolabs.com/companies/dbt-labs/employees/
Lighter Capital,atlas,BloomNation,Online floral marketplace / e-commerce software,United States,~5-11 employees (sources vary; LinkedIn lists 11-50 band),5,unknown/not public,unknown,https://craft.co/bloomnation,,https://craft.co/bloomnation
Lighter Capital,atlas,ProSpend (formerly expensemanager),Spend management / expense management & AP automation software (SaaS),Australia,~32 employees (LinkedIn; 11-50 band),32,unknown/not public,unknown,https://au.linkedin.com/company/prospend,,https://au.linkedin.com/company/prospend
Lighter Capital,atlas,Numeracle,Communications / call-labeling & caller-identity compliance technology (SaaS),United States,"~49-52 employees (PitchBook ~49; another source ~52, May 2026)",49,unknown/not public,unknown,https://pitchbook.com/profiles/company/489718-81,,https://pitchbook.com/profiles/company/489718-81
Lighter Capital,atlas,Beachly,Fashion / lifestyle subscription box e-commerce,United States,not public,,unknown/not public,unknown,https://www.lightercapital.com/client-stories,,https://www.lightercapital.com/client-stories
Sacramento Labs,atlas,Watchman Monitoring,IT / MSP software — device monitoring (Mac/Windows/Linux),United States,not public,,unknown/not public,unknown,https://sacramentolabs.com/,Now part of Sacramento Labs,https://sacramentolabs.com/
Sacramento Labs,atlas,FowlTracker,Agtech — waterfowl tracking maps,United States,not public,,unknown/not public,unknown,https://sacramentolabs.com/,a collaboration between Sacramento Labs and AgriNerds,https://fowltracker.com/about-us/
Sacramento Labs,atlas,WaterFowl Alert Network,Agtech — avian-influenza early warning for poultry farms,United States,not public,,unknown/not public,unknown,https://sacramentolabs.com/,an early warning system for poultry farms facing the threat of avian influenza ... Developed in partnership with AgriNerds,https://sacramentolabs.com/
Sacramento Labs,atlas,CompliantMailers,GovTech / compliance software — publicly funded mailers,United States,not public,,unknown/not public,unknown,https://compliantmailers.com/about-compliantmailers/,"created to help cities, counties, law firms, and campaign professionals avoid costly mistakes when sending publicly funded mailers",https://compliantmailers.com/about-compliantmailers/
Sacramento Labs,atlas,RepairTech (TechSuite),IT software — computer repair / diagnostics automation (historical),United States,not public,,unknown/not public,unknown,https://sacramentolabs.com/,"built TechSuite, a toolkit that helped IT professionals automate computer repair and diagnostics ... part of Sacramento Labs' history",https://sacramentolabs.com/
